construction,family,base,donor,seed,interleave_seed,n_cand,s_glob,s_spat,ece_cal,ece_raw,true_recov,gt_positives,adv_bytes,adv_positives,gt_source,region_n,region_mean_pi_cal,region_fp_conf,region_s_glob,region_s_spat,fire_glob,fire_spat,fires
C0_clean_base,clean,gcc_coreutils_64_O1_sum,gcc_coreutils_64_O1_printf,0x9e3779b97f4a7c15,0xdeadbeef,18611,0.648319,0.060142,0.002035,0.015391,0.976021,5213,0,0,injector-record,0,0.000000,0,0.000000,0.000000,0,0,none
C1_decoy_realcode,decoy,gcc_coreutils_64_O1_sum,gcc_coreutils_64_O1_printf,0x9e3779b97f4a7c15,0xdeadbeef,46508,1.359614,0.079764,0.160727,0.157660,0.976981,5213,30828,0,injector-record,27897,0.266032,6743,0.600185,0.077278,1,0,S_glob
C1b_decoy_decodeGT,decoy_relabeled,gcc_coreutils_64_O1_sum,gcc_coreutils_64_O1_printf,0x9e3779b97f4a7c15,0xdeadbeef,46508,1.359614,0.079764,0.003411,0.013571,0.979009,12672,30828,7459,injector-record,27897,0.266032,6743,0.600185,0.077278,1,0,S_glob
C2_decoy_nopsled,packing,gcc_coreutils_64_O1_sum,gcc_coreutils_64_O1_printf,0x9e3779b97f4a7c15,0xdeadbeef,49439,0.500423,0.328830,0.520131,0.627232,0.976021,5213,30828,0,injector-record,30828,0.833064,30784,0.411060,0.970687,0,1,S_spat
C3_pack_random,packing,gcc_coreutils_64_O1_sum,gcc_coreutils_64_O1_printf,0x9e3779b97f4a7c15,0xdeadbeef,45369,0.832935,0.162347,0.215944,0.195545,0.976021,5213,30828,0,injector-record,26758,0.365791,5144,0.961302,0.197403,0,1,S_spat
C4_pack_deflate,packing,gcc_coreutils_64_O1_sum,gcc_coreutils_64_O1_printf,0x9e3779b97f4a7c15,0xdeadbeef,47342,0.699069,0.247590,0.179792,0.124402,0.976021,5213,30828,0,injector-record,28731,0.296006,2479,0.731852,0.271958,0,1,S_spat
C5_interleave_k512,interleave,gcc_coreutils_64_O1_sum,gcc_coreutils_64_O1_printf,0x9e3779b97f4a7c15,0xdeadbeef,46217,1.788095,0.141491,0.190526,0.177742,0.975830,5213,30828,0,injector-record,27606,0.318683,5965,2.554798,0.181814,1,1,S_glob+S_spat
C5_interleave_k128,interleave,gcc_coreutils_64_O1_sum,gcc_coreutils_64_O1_printf,0x9e3779b97f4a7c15,0xdeadbeef,46328,2.458325,0.164613,0.193855,0.178209,0.975830,5213,30828,0,injector-record,27717,0.323740,5946,3.656068,0.212530,1,1,S_glob+S_spat
C5_interleave_k32,interleave,gcc_coreutils_64_O1_sum,gcc_coreutils_64_O1_printf,0x9e3779b97f4a7c15,0xdeadbeef,46352,1.449713,0.168767,0.194755,0.180278,0.975638,5213,30828,0,injector-record,27741,0.325153,5968,1.972300,0.218015,1,1,S_glob+S_spat
C5_interleave_k8,interleave,gcc_coreutils_64_O1_sum,gcc_coreutils_64_O1_printf,0x9e3779b97f4a7c15,0xdeadbeef,46317,1.064192,0.153757,0.197679,0.182675,0.976021,5213,30828,0,injector-record,27706,0.330194,5638,1.342523,0.194958,1,1,S_glob+S_spat
