name,label,n_funcs,max_blocks,dispatcher,dom_collapse,indirect,struct_absence,combined
p01_statemachine,obf_flatten,14,34,0.375000,0.222222,0.040000,0.160000,0.199306
p02_insertsort,obf_flatten,14,34,0.375000,0.222222,0.040000,0.160000,0.199306
p05_vm,obf_flatten,35,34,0.333333,0.200000,0.266667,0.200000,0.250000
p06_parser,obf_flatten,20,34,0.375000,0.222222,0.187500,0.160000,0.236181
p07_crc,obf_flatten,14,34,0.375000,0.222222,0.307692,0.307692,0.303152
p08_binsearch,obf_flatten,24,34,0.400000,0.222222,0.400000,0.300000,0.330556
p09_matmul,obf_flatten,29,34,0.375000,0.222222,0.285714,0.214286,0.274306
p10_collatz,obf_flatten,15,34,0.375000,0.222222,0.300000,0.400000,0.324306
p12_modpow,obf_flatten,12,34,0.375000,0.272727,0.333333,0.416667,0.349432
p01_statemachine,obf_virt,14,143,0.375000,0.222222,0.110236,0.259843,0.241825
p02_insertsort,obf_virt,15,224,0.400000,0.222222,0.085714,0.257143,0.241270
p05_vm,obf_virt,22,238,0.400000,0.222222,0.190476,0.190476,0.250794
p06_parser,obf_virt,12,195,0.375000,0.222222,0.086207,0.297414,0.245211
p07_crc,obf_virt,20,97,0.375000,0.222222,0.157895,0.245902,0.250255
p08_binsearch,obf_virt,12,119,0.375000,0.222222,0.176471,0.211679,0.246343
p09_matmul,obf_virt,14,187,0.375000,0.222222,0.100629,0.352201,0.262513
p10_collatz,obf_virt,14,96,0.300000,0.181818,0.081395,0.168317,0.182883
p12_modpow,obf_virt,15,85,0.375000,0.222222,0.127660,0.276596,0.250369
p02_insertsort,clean_ctrl,6,51,0.375000,0.222222,0.040000,0.160000,0.199306
p03_ackermann,clean_ctrl,8,179,0.375000,0.222222,0.040000,0.203704,0.210231
p07_crc,clean_ctrl,6,34,0.375000,0.222222,0.040000,0.160000,0.199306
p08_binsearch,clean_ctrl,6,34,0.375000,0.222222,0.040000,0.242424,0.219912
p09_matmul,clean_ctrl,6,74,0.375000,0.222222,0.040000,0.160000,0.199306
p10_collatz,clean_ctrl,6,34,0.375000,0.222222,0.040000,0.225806,0.215757
p11_sieve,clean_ctrl,9,42,0.375000,0.222222,0.111111,0.222222,0.232639
p12_modpow,clean_ctrl,7,57,0.375000,0.222222,0.040000,0.160000,0.199306
coreutils_date,benign_switch,336,1236,0.375000,0.375000,0.054054,0.326923,0.282744
coreutils_dd,benign_switch,213,1236,0.375000,0.375000,0.064516,0.277419,0.272984
coreutils_expr,benign_switch,393,1236,0.375000,0.375000,0.095238,0.277419,0.280664
coreutils_factor,benign_switch,341,1236,0.375000,0.375000,0.071429,0.277419,0.274712
coreutils_od,benign_switch,397,1236,0.375000,0.375000,0.074074,0.277419,0.275373
coreutils_pr,benign_switch,309,1236,0.375000,0.375000,0.064516,0.277419,0.272984
coreutils_printf,benign_switch,303,1012,0.428571,0.375000,0.090909,0.277419,0.292975
coreutils_seq,benign_switch,286,1236,0.375000,0.375000,0.071429,0.277419,0.274712
coreutils_stty,benign_switch,328,1236,0.375000,0.375000,0.166667,0.277419,0.298522
coreutils_tail,benign_switch,286,1236,0.375000,0.375000,0.064516,0.408940,0.305864
p01_statemachine,legit_interp,6,64,0.375000,0.222222,0.040000,0.169014,0.201559
p05_vm,legit_interp,8,73,0.375000,0.222222,0.222222,0.177215,0.249165
p06_parser,legit_interp,8,36,0.428571,0.222222,0.040000,0.238095,0.232222
vmbig,legit_interp,29,180,0.375000,0.222222,0.133333,0.160000,0.222639
