name,role,n,base_rate,code_bytes,region_entropy,ece_calibrated,ece_raw,s_glob_surprise,s_glob_nis,s_spat_moran,s_spat_clustered,mean_nis,frac_super,b_mean_pi,b_pred_entropy,b_msp,b_mean_abs_llr,level
gcc_coreutils_64_O1_df,clean_fit,62880,0.271088,68860,6.1589,0.002744,0.007709,0.533885,393.648863,0.031961,0.051536,393.648863,0.016046,0.265801,0.011320,0.995668,722.820023,
icc_coreutils_64_O0_truncate,clean_fit,31785,0.293000,35424,5.6731,0.002401,0.010987,0.873143,416.666122,0.064140,0.064286,416.666122,0.004405,0.287203,0.013542,0.994802,412.409389,
gcc_coreutils_64_O1_sha384sum,clean_fit,33619,0.281954,36204,6.3329,0.001493,0.008218,0.575200,425.368039,0.040413,0.123932,425.368039,0.020881,0.277473,0.010835,0.995997,911.697885,
icc_coreutils_64_O2_test,clean_fit,14447,0.281027,16060,6.2515,0.002048,0.018634,0.669616,493.368212,0.076852,0.090426,493.368212,0.026026,0.270761,0.026955,0.990280,221.277460,
icc_coreutils_64_O2_env,clean_fit,14720,0.278533,16188,6.2378,0.004737,0.020212,0.664435,472.829328,0.084621,0.118132,472.829328,0.024728,0.268648,0.028275,0.989778,168.995833,
gcc_coreutils_64_O3_md5sum,clean_fit,29368,0.268830,32012,6.3342,0.002355,0.014505,0.612406,434.220057,0.061895,0.047319,434.220057,0.021588,0.260497,0.020794,0.992665,240.992874,
icc_coreutils_64_O3_chgrp,clean_fit,44159,0.269956,48492,6.2228,0.002041,0.015269,0.688454,487.389238,0.105178,0.061711,487.389238,0.016146,0.259978,0.025467,0.990981,520.739866,
icc_coreutils_64_O1_sort,clean_fit,57074,0.275677,61548,6.2659,0.001630,0.007612,0.599516,445.065041,0.039082,0.055556,445.065041,0.020815,0.270679,0.012312,0.995240,2019.234032,
icc_coreutils_64_O0_pathchk,clean_fit,19330,0.297517,21376,5.7327,0.004438,0.014780,1.163727,514.259289,0.063796,0.000000,514.259289,0.001914,0.292729,0.012998,0.995009,301.970563,
icc_coreutils_64_O0_setuidgid,clean_fit,21193,0.298164,23420,5.7269,0.003104,0.015183,0.892257,481.672700,0.061036,0.134259,481.672700,0.010192,0.291198,0.017106,0.993432,365.015238,
gcc_coreutils_64_O3_nproc,clean_fit,24253,0.266441,26412,6.2403,0.003316,0.017391,0.570413,402.659598,0.064198,0.065646,402.659598,0.018843,0.256276,0.028883,0.989621,129.609435,
icc_coreutils_64_O2_echo,clean_fit,11377,0.279160,12556,6.2161,0.005019,0.026808,0.591848,404.177420,0.108310,0.105263,404.177420,0.023381,0.264358,0.036543,0.986736,91.666086,
icc_coreutils_64_O3_ls,clean_fit,81851,0.268732,90188,6.3491,0.002979,0.016156,0.587440,373.247031,0.096751,0.134777,373.247031,0.010153,0.258721,0.029590,0.989279,992.470807,
icc_coreutils_64_O0_join,clean_fit,28667,0.295078,31564,5.7389,0.002199,0.010995,1.005881,448.992892,0.067936,0.000000,448.992892,0.001640,0.289435,0.012910,0.995024,526.355105,
icc_coreutils_64_O1_paste,clean_fit,15668,0.274636,16956,6.1531,0.002000,0.013778,0.612995,429.826352,0.069182,0.087766,429.826352,0.023998,0.268018,0.020005,0.992472,292.477644,
icc_coreutils_64_O0_mknod,clean_fit,21704,0.299438,23920,5.7581,0.002489,0.013724,0.813947,452.020975,0.059456,0.113043,452.020975,0.010597,0.292638,0.016701,0.993612,383.059163,
icc_coreutils_64_O0_logname,clean_fit,17869,0.297387,19804,5.7277,0.003134,0.015501,0.877168,445.153786,0.064681,0.000000,445.153786,0.003470,0.289582,0.018505,0.993032,232.081565,
icc_coreutils_64_O2_getlimits,clean_fit,29374,0.263703,32316,6.0894,0.001751,0.013424,0.668835,475.407646,0.085178,0.107226,475.407646,0.014605,0.254866,0.021312,0.992330,469.825750,
icc_coreutils_64_O0_pwd,clean_fit,21195,0.298278,23592,5.7187,0.003526,0.014435,0.933439,479.095859,0.061015,0.121739,479.095859,0.005426,0.292166,0.014121,0.994707,314.228879,
gcc_coreutils_64_O2_mktemp,clean_fit,20162,0.281867,22156,6.2620,0.003073,0.018891,0.679832,500.159837,0.078947,0.074627,500.159837,0.026585,0.271282,0.025454,0.990900,228.395597,
gcc_coreutils_64_O2_dirname,clean_holdout,14582,0.278905,15980,6.2296,0.004816,0.021815,0.671965,472.382139,0.088253,0.085399,472.382139,0.024894,0.267937,0.030754,0.988760,110.573190,
gcc_coreutils_64_O2_vdir,clean_holdout,61575,0.274803,67900,6.3131,0.004354,0.018468,0.592722,404.260487,0.098739,0.089816,404.260487,0.020252,0.262532,0.034406,0.987512,776.305105,
icc_coreutils_64_O3_unexpand,clean_holdout,24698,0.263584,26828,6.2133,0.003121,0.014720,0.600878,405.433442,0.066117,0.057026,405.433442,0.019880,0.255148,0.025152,0.991180,171.309332,
icc_coreutils_64_O0_pr,clean_holdout,41888,0.290656,46656,5.9018,0.001382,0.012436,1.112455,440.096954,0.060266,0.078947,440.096954,0.001814,0.285861,0.016852,0.993407,381.172042,
icc_coreutils_64_O3_numfmt,clean_holdout,48776,0.266217,53932,6.2965,0.003613,0.013942,0.579920,354.945017,0.064592,0.118421,354.945017,0.007791,0.258697,0.024852,0.990959,461.653376,
icc_coreutils_64_O0_sha224sum,clean_holdout,37285,0.321953,41084,5.8144,0.001672,0.008106,1.051014,395.846467,0.040832,0.000000,395.846467,0.001261,0.317836,0.009647,0.996408,880.049417,
gcc_coreutils_64_O1_tee,clean_holdout,14873,0.277886,16140,6.1226,0.002034,0.017248,0.595258,428.071320,0.064298,0.105590,428.071320,0.021650,0.269064,0.022481,0.991703,204.336964,
gcc_coreutils_64_O2_sort,clean_holdout,61001,0.275700,66684,6.3377,0.001431,0.013797,0.658022,453.689048,0.065909,0.059311,453.689048,0.025704,0.267165,0.021303,0.992294,1691.876382,
icc_coreutils_64_O0_stat,clean_holdout,61134,0.285962,69752,5.7698,0.002425,0.013727,0.810299,396.741628,0.085764,0.082621,396.741628,0.011483,0.279980,0.017588,0.993091,457.909890,
icc_coreutils_64_O2_unlink,clean_holdout,14590,0.276971,15964,6.2138,0.003582,0.021289,0.689159,469.580066,0.094479,0.012987,469.580066,0.015833,0.265941,0.030215,0.989061,117.714810,
gcc_coreutils_64_O2_runcon,clean_holdout,15837,0.279409,17468,6.2164,0.003399,0.020547,0.666872,496.933391,0.078084,0.080402,496.933391,0.025131,0.268777,0.028372,0.989767,191.382299,
icc_coreutils_64_O2_chroot,clean_holdout,17356,0.280767,19116,6.2288,0.001848,0.022013,0.688354,487.467825,0.077683,0.068736,487.467825,0.025985,0.267994,0.030392,0.988769,188.319812,
icc_coreutils_64_O1_sha384sum,clean_holdout,33619,0.281954,36204,6.3329,0.001493,0.008218,0.575200,425.368039,0.040413,0.123932,425.368039,0.020881,0.277473,0.010835,0.995997,911.697885,
icc_coreutils_64_O1_shred,clean_holdout,26752,0.273512,28860,6.1435,0.001941,0.010331,0.608171,438.982354,0.034506,0.046358,438.982354,0.011289,0.267244,0.014911,0.994422,579.223108,
icc_coreutils_64_O3_touch,clean_holdout,42929,0.261408,47004,6.2305,0.002983,0.015505,0.664198,450.177867,0.103811,0.090190,450.177867,0.014722,0.252023,0.026431,0.990766,529.457518,
gcc_coreutils_64_O2_rm,clean_holdout,33482,0.279643,36860,6.2098,0.002238,0.016130,0.688903,492.718418,0.093544,0.057447,492.718418,0.028075,0.268986,0.025416,0.991035,546.626904,
gcc_coreutils_64_O3_factor,clean_holdout,65718,0.266578,72220,6.2516,0.002164,0.010217,0.733732,450.506817,0.079461,0.103878,450.506817,0.010986,0.260492,0.017080,0.993980,1316.432185,
icc_coreutils_64_O2_pinky,clean_holdout,18056,0.280295,19852,6.2726,0.004994,0.020509,0.730509,536.957134,0.080912,0.095865,536.957134,0.029464,0.269982,0.027489,0.989839,185.953046,
gcc_coreutils_64_O1_hostid,clean_holdout,13721,0.273814,14796,6.1174,0.002971,0.017349,0.594778,405.705626,0.067570,0.055556,405.705626,0.020990,0.264966,0.025310,0.990684,197.426469,
gcc_coreutils_64_O1_dircolors,clean_holdout,16599,0.273872,17932,6.1283,0.003127,0.016004,0.703878,505.084120,0.082273,0.081319,505.084120,0.027411,0.267128,0.020505,0.992242,334.941291,
icc_coreutils_64_O0_tr,clean_holdout,29638,0.296680,32540,5.7388,0.002119,0.011430,0.872724,437.581045,0.066956,0.086253,437.581045,0.012518,0.291189,0.013378,0.994866,291.973399,
icc_coreutils_64_O3_vdir,clean_holdout,81851,0.268732,90188,6.3491,0.002979,0.016156,0.587440,373.247031,0.096751,0.134777,373.247031,0.010153,0.258721,0.029590,0.989279,992.470807,
icc_coreutils_64_O0_users,clean_holdout,18951,0.298507,20988,5.7208,0.003680,0.014190,0.830564,477.983909,0.065363,0.111437,477.983909,0.017994,0.292566,0.015365,0.994218,239.423824,
gcc_coreutils_64_O0_uname,clean_holdout,18430,0.297667,20380,5.7442,0.004366,0.015020,0.795376,486.539228,0.053600,0.105882,486.539228,0.013836,0.291729,0.015059,0.994321,223.140600,
