offset,addr,cavity_q,local_m,residual,surprise,event,label
0,0x2370,0.32957,0.20000,-0.27564,0.50707,0,1
3,0x2373,0.32957,0.20000,-0.27564,0.50707,0,0
4,0x2374,0.37673,0.20000,-0.36472,0.55519,0,1
5,0x2375,0.32843,0.20000,-0.27347,0.50594,0,0
6,0x2376,0.43065,0.20000,-0.46580,0.61321,0,1
7,0x2377,0.64109,0.20000,-0.91956,0.87865,0,0
8,0x2378,0.00052,0.20000,8.70811,0.22354,0,0
9,0x2379,0.98874,0.20000,-7.47608,1.57622,0,1
10,0x237a,0.98932,0.20000,-7.67881,1.57790,0,1
11,0x237b,0.03215,0.20000,0.95145,0.24755,0,0
12,0x237c,0.00026,0.20000,12.42529,0.22334,0,0
13,0x237d,0.99681,0.20000,-14.12598,1.59991,0,1
14,0x237e,0.01002,0.20000,1.90738,0.23069,0,0
15,0x237f,0.01002,0.20000,1.90743,0.23069,0,0
17,0x2381,0.99997,0.20000,-80.00072,1.60934,0,1
18,0x2382,0.99999,0.20000,-80.00257,1.60940,0,1
19,0x2383,0.49828,0.20000,-0.59657,0.69109,0,1
20,0x2384,0.30917,0.20000,-0.23622,0.48695,0,0
21,0x2385,0.06455,0.20000,0.55119,0.27277,0,0
22,0x2386,0.47343,0.20000,-0.54763,0.66176,0,1
23,0x2387,0.93869,0.20000,-3.07919,1.44060,0,0
24,0x2388,0.54081,0.20000,-0.68390,0.74336,0,1
25,0x2389,0.34344,0.20000,-0.30207,0.52099,0,0
26,0x238a,0.34344,0.20000,-0.30207,0.52099,0,0
28,0x238c,0.20358,0.20000,-0.00888,0.38882,0,0
29,0x238d,0.34344,0.20000,-0.30207,0.52099,0,0
30,0x238e,0.00001,0.20000,20.00046,0.22315,0,0
31,0x238f,0.99999,0.20000,-80.00349,1.60942,0,1
32,0x2390,0.00002,0.20000,19.99936,0.22316,0,0
33,0x2391,0.00001,0.20000,20.00009,0.22315,0,0
34,0x2392,0.00001,0.20000,20.00009,0.22315,0,0
35,0x2393,0.00002,0.20000,19.99937,0.22316,0,0
36,0x2394,0.00000,0.20000,20.00100,0.22314,0,0
37,0x2395,0.66666,1.00000,0.70711,0.40547,0,1
38,0x2396,0.38998,1.00000,1.25071,0.94167,0,1
39,0x2397,0.00000,0.20000,20.00100,0.22314,0,0
