program,transform,gt_kind,ok,err,e_type,align_ok,text_base,text_bytes,gt_starts,base_rate,ece_raw,ece_recal,auroc_raw,auroc_recal,reliability,resolution,recall0,prec0,f1_0,prec_strict,npred_strict,cw_fp,cw_flag
p01_statemachine,baseline,max,1,,EXEC,1,0x401020,577,166,0.29,0.023,0.0,0.9948,0.9959,0.0068,0.1845,0.8012,1.0,0.8896,1.0,112,0,0
p01_statemachine,baseline,min,1,,EXEC,1,0x401020,577,132,0.2268,0.0589,0.0014,0.9799,0.9827,0.0117,0.1252,0.8258,0.8195,0.8226,0.8929,112,12,1
p01_statemachine,Virtualize,max,1,,EXEC,1,0x401020,2161,482,0.2452,0.0234,0.0,0.9893,0.991,0.0021,0.1563,0.8091,0.9824,0.8874,0.9938,320,2,0
p01_statemachine,Virtualize,min,1,,EXEC,1,0x401020,2161,436,0.2213,0.0295,0.0001,0.9835,0.986,0.0027,0.1397,0.8394,0.9219,0.8788,0.9563,320,14,0
p01_statemachine,Flatten,max,1,,EXEC,1,0x401020,625,175,0.285,0.0666,0.0,0.955,0.9599,0.0099,0.1299,0.6457,0.9912,0.782,1.0,78,0,0
p01_statemachine,Flatten,min,1,,EXEC,1,0x401020,625,137,0.2193,0.0908,0.0041,0.9292,0.9366,0.0234,0.0863,0.6496,0.7807,0.7092,0.8462,78,12,1
p01_statemachine,AddOpaque,max,1,,EXEC,1,0x401040,945,248,0.2685,0.055,0.0,0.9672,0.9702,0.008,0.137,0.7621,0.9793,0.8571,1.0,166,0,0
p01_statemachine,AddOpaque,min,1,,EXEC,1,0x401040,945,210,0.2315,0.0788,0.0005,0.9543,0.9594,0.0157,0.1045,0.7857,0.8549,0.8189,0.9217,166,13,0
p01_statemachine,EncodeArithmetic,max,1,,EXEC,1,0x401020,561,170,0.3083,0.0456,0.0,0.981,0.9839,0.0075,0.1661,0.7882,0.964,0.8673,0.9677,124,4,0
p01_statemachine,EncodeArithmetic,min,1,,EXEC,1,0x401020,561,133,0.237,0.0709,0.0015,0.9672,0.9712,0.0173,0.1148,0.8271,0.7914,0.8088,0.8306,124,21,1
p01_statemachine,EncodeLiterals,max,1,,EXEC,1,0x401040,1313,334,0.267,0.0202,0.0,0.991,0.9924,0.002,0.17,0.8383,0.9756,0.9018,0.9919,248,2,0
p01_statemachine,EncodeLiterals,min,1,,EXEC,1,0x401040,1313,290,0.2351,0.0319,0.0002,0.9879,0.9899,0.0042,0.1469,0.8897,0.899,0.8943,0.9355,248,16,0
p02_insertsort,baseline,max,1,,EXEC,1,0x401020,513,150,0.2941,0.0237,0.0,0.9923,0.9942,0.0064,0.183,0.82,0.9919,0.8978,0.9902,102,1,0
p02_insertsort,baseline,min,1,,EXEC,1,0x401020,513,117,0.2248,0.0641,0.0021,0.9742,0.9777,0.0138,0.1175,0.8462,0.7984,0.8216,0.8627,102,14,1
p02_insertsort,Virtualize,max,1,,EXEC,1,0x401020,2641,560,0.2297,0.02,0.0,0.9939,0.9952,0.0034,0.1577,0.85,0.9835,0.9119,0.9928,416,3,0
p02_insertsort,Virtualize,min,1,,EXEC,1,0x401020,2641,520,0.213,0.0241,0.0001,0.9896,0.9915,0.003,0.1421,0.8692,0.9339,0.9004,0.9639,416,15,0
p02_insertsort,Flatten,max,1,,EXEC,1,0x401020,593,168,0.2953,0.0648,0.0,0.9481,0.9547,0.0083,0.1298,0.5952,0.9804,0.7407,1.0,76,0,0
p02_insertsort,Flatten,min,1,,EXEC,1,0x401020,593,131,0.2262,0.1028,0.0047,0.9117,0.9228,0.0263,0.0858,0.5802,0.7451,0.6524,0.8421,76,12,1
p02_insertsort,AddOpaque,max,1,,EXEC,1,0x401040,769,202,0.2612,0.0429,0.0,0.9704,0.974,0.0128,0.148,0.7624,1.0,0.8652,1.0,129,0,0
p02_insertsort,AddOpaque,min,1,,EXEC,1,0x401040,769,164,0.2163,0.071,0.0009,0.9551,0.9614,0.0214,0.1066,0.7927,0.8442,0.8176,0.8915,129,14,1
p02_insertsort,EncodeArithmetic,max,1,,EXEC,1,0x401040,561,172,0.3146,0.0435,0.0,0.974,0.9778,0.0061,0.1632,0.7442,0.9846,0.8477,0.9909,110,1,0
p02_insertsort,EncodeArithmetic,min,1,,EXEC,1,0x401040,561,139,0.2505,0.0804,0.0014,0.9534,0.9617,0.0191,0.1127,0.7482,0.8,0.7732,0.8818,110,13,1
p02_insertsort,EncodeLiterals,max,1,,EXEC,1,0x401040,801,208,0.2574,0.0372,0.0,0.9649,0.9696,0.0084,0.1414,0.7067,1.0,0.8282,1.0,129,0,0
p02_insertsort,EncodeLiterals,min,1,,EXEC,1,0x401040,801,169,0.2131,0.0622,0.0009,0.9502,0.957,0.0161,0.1007,0.7337,0.8435,0.7848,0.8837,129,15,1
p03_ackermann,baseline,max,1,,EXEC,1,0x401040,1361,376,0.2985,0.019,0.0,0.9961,0.9968,0.0053,0.1895,0.8617,1.0,0.9257,1.0,305,0,0
p03_ackermann,baseline,min,1,,EXEC,1,0x401040,1361,322,0.2545,0.0309,0.0102,0.9939,0.9948,0.0039,0.1644,0.9317,0.9259,0.9288,0.9541,305,14,0
p03_ackermann,Virtualize,max,1,,EXEC,1,0x401020,1985,451,0.2434,0.0207,0.001,0.9916,0.9932,0.0037,0.1604,0.8514,0.9948,0.9176,0.9972,352,1,0
p03_ackermann,Virtualize,min,1,,EXEC,1,0x401020,1985,394,0.2119,0.0252,0.0036,0.9892,0.9913,0.0029,0.1417,0.9137,0.9326,0.9231,0.9602,352,14,0
p03_ackermann,Flatten,max,1,,EXEC,1,0x401020,545,166,0.3152,0.0616,0.0,0.9655,0.9693,0.014,0.1525,0.6687,0.9911,0.7986,1.0,88,0,0
p03_ackermann,Flatten,min,1,,EXEC,1,0x401020,545,129,0.2404,0.0878,0.0121,0.9374,0.944,0.0218,0.0954,0.6744,0.7768,0.722,0.8636,88,12,1
p03_ackermann,AddOpaque,max,1,,EXEC,1,0x401040,1889,486,0.2703,0.0182,0.0,0.9928,0.9943,0.0026,0.1725,0.8621,0.9952,0.9239,1.0,386,0,0
p03_ackermann,AddOpaque,min,1,,EXEC,1,0x401040,1889,430,0.2415,0.0236,0.0054,0.9906,0.9922,0.0023,0.1544,0.9186,0.9382,0.9283,0.9689,386,12,0
p03_ackermann,EncodeArithmetic,max,1,,EXEC,1,0x401020,545,182,0.3399,0.0231,0.0,0.9905,0.9919,0.0043,0.1936,0.8077,0.9932,0.8909,1.0,127,0,0
p03_ackermann,EncodeArithmetic,min,1,,EXEC,1,0x401020,545,148,0.2727,0.0586,0.0138,0.9746,0.978,0.0109,0.1383,0.8311,0.8311,0.8311,0.9055,127,12,0
p03_ackermann,EncodeLiterals,max,1,,EXEC,1,0x401040,865,244,0.2829,0.0355,0.0,0.9762,0.9787,0.0053,0.1553,0.7746,1.0,0.873,1.0,163,0,0
p03_ackermann,EncodeLiterals,min,1,,EXEC,1,0x401040,865,203,0.2395,0.0566,0.0054,0.9669,0.9698,0.0109,0.1188,0.8128,0.873,0.8418,0.9264,163,12,0
p04_fnptr,baseline,max,1,,EXEC,1,0x401020,465,144,0.3146,0.0389,0.0,0.9793,0.982,0.0087,0.1687,0.6597,1.0,0.795,1.0,70,0,0
p04_fnptr,baseline,min,1,,EXEC,1,0x401020,465,106,0.2254,0.0842,0.0049,0.952,0.9589,0.0181,0.1039,0.6698,0.7474,0.7065,0.8286,70,12,1
p04_fnptr,Virtualize,max,1,,EXEC,1,0x401020,2881,666,0.2501,0.0306,0.0,0.983,0.9847,0.0035,0.1499,0.7943,0.9742,0.8751,0.9809,470,9,0
p04_fnptr,Virtualize,min,1,,EXEC,1,0x401020,2881,599,0.2246,0.0325,0.003,0.9819,0.9838,0.0037,0.1394,0.8431,0.93,0.8844,0.9553,470,21,0
p04_fnptr,Flatten,max,1,,EXEC,1,0x401020,561,160,0.2913,0.0557,0.0,0.961,0.9675,0.0147,0.1487,0.5625,0.9574,0.7087,1.0,65,0,0
p04_fnptr,Flatten,min,1,,EXEC,1,0x401020,561,119,0.2117,0.0791,0.0069,0.9298,0.9406,0.0228,0.0937,0.5546,0.7021,0.6197,0.8154,65,12,1
p04_fnptr,AddOpaque,max,1,,EXEC,1,0x401040,865,230,0.2672,0.0457,0.0,0.958,0.9628,0.0094,0.137,0.6739,0.9873,0.801,1.0,114,0,0
p04_fnptr,AddOpaque,min,1,,EXEC,1,0x401040,865,189,0.2235,0.0671,0.0012,0.9382,0.9462,0.0166,0.1024,0.6984,0.8408,0.763,0.8947,114,12,1
p04_fnptr,EncodeArithmetic,max,1,,EXEC,1,0x401020,545,179,0.334,0.0396,0.0,0.986,0.9885,0.0106,0.1849,0.7542,0.9926,0.8571,1.0,98,0,0
p04_fnptr,EncodeArithmetic,min,1,,EXEC,1,0x401020,545,142,0.2609,0.0688,0.0026,0.9599,0.9656,0.0137,0.1268,0.7817,0.8162,0.7986,0.8776,98,12,1
p04_fnptr,EncodeLiterals,max,1,,EXEC,1,0x401040,1073,285,0.2742,0.0369,0.0,0.9812,0.9836,0.0058,0.1562,0.7579,0.9774,0.8538,1.0,189,0,0
p04_fnptr,EncodeLiterals,min,1,,EXEC,1,0x401040,1073,239,0.2334,0.0488,0.0003,0.9757,0.9799,0.0099,0.1284,0.8033,0.8688,0.8348,0.9312,189,13,0
p05_vm,baseline,max,1,,EXEC,1,0x401020,641,196,0.3224,0.0207,0.0,0.991,0.9927,0.0036,0.1896,0.801,0.9937,0.887,0.9915,118,1,0
p05_vm,baseline,min,1,,EXEC,1,0x401020,641,159,0.2582,0.0534,0.0017,0.9714,0.9764,0.0081,0.1404,0.8365,0.8418,0.8391,0.8898,118,13,1
p05_vm,Virtualize,max,1,,EXEC,1,0x401020,2961,602,0.2199,0.0138,0.0,0.9951,0.9961,0.0019,0.1543,0.8372,0.9902,0.9073,0.9924,393,3,0
p05_vm,Virtualize,min,1,,EXEC,1,0x401020,2961,558,0.2036,0.017,0.0001,0.9926,0.9935,0.002,0.1412,0.8602,0.943,0.8997,0.9618,393,15,0
p05_vm,Flatten,max,1,,EXEC,1,0x401020,1025,266,0.2896,0.1239,0.0,0.8876,0.8958,0.0213,0.0874,0.5526,0.8448,0.6682,0.972,107,3,0
p05_vm,Flatten,min,1,,EXEC,1,0x401020,1025,233,0.2523,0.1431,0.0012,0.8609,0.8731,0.035,0.0648,0.5279,0.7069,0.6044,0.8411,107,17,1
p05_vm,AddOpaque,max,1,,EXEC,1,0x401040,881,244,0.2818,0.0268,0.0,0.9807,0.9838,0.0024,0.1594,0.7336,0.9835,0.8404,1.0,137,0,0
p05_vm,AddOpaque,min,1,,EXEC,1,0x401040,881,206,0.2423,0.0491,0.0009,0.9638,0.9685,0.0078,0.1222,0.7524,0.8516,0.799,0.9124,137,12,0
p05_vm,EncodeArithmetic,max,1,,EXEC,1,0x401020,817,249,0.3261,0.0332,0.0,0.9853,0.9873,0.0039,0.1781,0.8112,0.9854,0.8899,0.994,167,1,0
p05_vm,EncodeArithmetic,min,1,,EXEC,1,0x401020,817,212,0.2756,0.0563,0.001,0.9684,0.9721,0.0088,0.1425,0.8396,0.8683,0.8537,0.8982,167,17,1
p05_vm,EncodeLiterals,max,1,,EXEC,1,0x401040,1041,286,0.2878,0.052,0.0,0.9667,0.9699,0.0128,0.1551,0.7448,0.9907,0.8503,0.9942,172,1,0
p05_vm,EncodeLiterals,min,1,,EXEC,1,0x401040,1041,239,0.2441,0.066,0.0006,0.9574,0.9622,0.0174,0.1253,0.7908,0.8791,0.8326,0.9128,172,15,0
p06_parser,baseline,max,1,,EXEC,1,0x401020,449,145,0.3245,0.0299,0.0,0.9853,0.9875,0.0057,0.1846,0.7793,0.9912,0.8726,1.0,90,0,0
p06_parser,baseline,min,1,,EXEC,1,0x401020,449,112,0.2452,0.0737,0.0028,0.9604,0.9677,0.0174,0.117,0.7946,0.7807,0.7876,0.8667,90,12,1
p06_parser,Virtualize,max,1,,EXEC,1,0x401020,2785,624,0.2516,0.0146,0.0001,0.996,0.9968,0.0035,0.173,0.8622,0.9926,0.9228,0.9978,451,1,0
p06_parser,Virtualize,min,1,,EXEC,1,0x401020,2785,580,0.2336,0.0179,0.0001,0.9926,0.9939,0.0027,0.1584,0.8862,0.9483,0.9162,0.9712,451,13,0
p06_parser,Flatten,max,1,,EXEC,1,0x401020,705,195,0.2918,0.066,0.0,0.9501,0.9557,0.008,0.1267,0.6256,0.9839,0.7649,1.0,88,0,0
p06_parser,Flatten,min,1,,EXEC,1,0x401020,705,164,0.2429,0.0982,0.0024,0.9173,0.9263,0.0201,0.0844,0.5976,0.7903,0.6806,0.8636,88,12,1
p06_parser,AddOpaque,max,1,,EXEC,1,0x401040,769,209,0.2707,0.05,0.0,0.9567,0.9637,0.009,0.1385,0.7416,0.9748,0.8424,1.0,136,0,0
p06_parser,AddOpaque,min,1,,EXEC,1,0x401040,769,169,0.223,0.0893,0.0008,0.9401,0.9508,0.0222,0.1007,0.7751,0.8239,0.7988,0.8971,136,14,1
p06_parser,EncodeArithmetic,max,1,,EXEC,1,0x401020,641,192,0.3085,0.0201,0.0,0.9877,0.9909,0.0032,0.1831,0.8229,0.9814,0.8952,0.9786,140,3,0
p06_parser,EncodeArithmetic,min,1,,EXEC,1,0x401020,641,156,0.2475,0.0549,0.0009,0.9776,0.9817,0.0091,0.1338,0.859,0.8323,0.8454,0.8929,140,15,1
p06_parser,EncodeLiterals,max,1,,EXEC,1,0x401040,961,259,0.274,0.0249,0.0,0.9858,0.9878,0.0031,0.1646,0.7838,0.9807,0.8712,1.0,177,0,0
p06_parser,EncodeLiterals,min,1,,EXEC,1,0x401040,961,218,0.2345,0.0452,0.0004,0.9792,0.9821,0.0078,0.1319,0.8211,0.8647,0.8424,0.9266,177,13,0
p07_crc,baseline,max,1,,EXEC,1,0x401020,369,119,0.3263,0.0199,0.0,0.9899,0.9923,0.003,0.1888,0.7731,1.0,0.872,1.0,66,0,0
p07_crc,baseline,min,1,,EXEC,1,0x401020,369,88,0.2335,0.089,0.0114,0.9495,0.9566,0.0217,0.1067,0.7727,0.7391,0.7556,0.8182,66,12,1
p07_crc,Virtualize,max,1,,EXEC,1,0x401020,1745,421,0.2646,0.0183,0.0003,0.9917,0.9929,0.0021,0.1682,0.8195,0.9942,0.8984,0.9931,288,2,0
p07_crc,Virtualize,min,1,,EXEC,1,0x401020,1745,380,0.2382,0.0251,0.0002,0.9854,0.9871,0.0021,0.1468,0.8447,0.9251,0.8831,0.9514,288,14,0
p07_crc,Flatten,max,1,,EXEC,1,0x401020,545,160,0.2982,0.0737,0.0,0.9331,0.941,0.0116,0.13,0.6188,0.9429,0.7472,0.9494,79,4,0
