name,regime,sublabel,arm,pick,tau,n_cand,n_pos,n_accept,tp,fp,fn,n_window,win_accept
icc_coreutils_64_O0_mknod,benign,clean,stale,benign,0.50,21704,6499,6567,6359,208,140,0,0
icc_coreutils_64_O0_mknod,benign,clean,stale,benign,0.70,21704,6499,6142,6089,53,410,0,0
icc_coreutils_64_O0_mknod,benign,clean,stale,benign,0.90,21704,6499,5920,5909,11,590,0,0
icc_coreutils_64_O0_mknod,benign,clean,switch_rule,benign,0.50,21704,6499,6567,6359,208,140,0,0
icc_coreutils_64_O0_mknod,benign,clean,switch_rule,benign,0.70,21704,6499,6142,6089,53,410,0,0
icc_coreutils_64_O0_mknod,benign,clean,switch_rule,benign,0.90,21704,6499,5920,5909,11,590,0,0
icc_coreutils_64_O0_mknod,benign,clean,switch_guard,benign,0.50,21704,6499,6567,6359,208,140,0,0
icc_coreutils_64_O0_mknod,benign,clean,switch_guard,benign,0.70,21704,6499,6142,6089,53,410,0,0
icc_coreutils_64_O0_mknod,benign,clean,switch_guard,benign,0.90,21704,6499,5920,5909,11,590,0,0
icc_coreutils_64_O0_mknod,benign,clean,oracle,benign,0.50,21704,6499,6567,6359,208,140,0,0
icc_coreutils_64_O0_mknod,benign,clean,oracle,benign,0.70,21704,6499,6142,6089,53,410,0,0
icc_coreutils_64_O0_mknod,benign,clean,oracle,benign,0.90,21704,6499,5920,5909,11,590,0,0
icc_coreutils_64_O0_logname,benign,clean,stale,benign,0.50,17869,5314,5366,5196,170,118,0,0
icc_coreutils_64_O0_logname,benign,clean,stale,benign,0.70,17869,5314,4999,4944,55,370,0,0
icc_coreutils_64_O0_logname,benign,clean,stale,benign,0.90,17869,5314,4768,4756,12,558,0,0
icc_coreutils_64_O0_logname,benign,clean,switch_rule,benign,0.50,17869,5314,5366,5196,170,118,0,0
icc_coreutils_64_O0_logname,benign,clean,switch_rule,benign,0.70,17869,5314,4999,4944,55,370,0,0
icc_coreutils_64_O0_logname,benign,clean,switch_rule,benign,0.90,17869,5314,4768,4756,12,558,0,0
icc_coreutils_64_O0_logname,benign,clean,switch_guard,benign,0.50,17869,5314,5366,5196,170,118,0,0
icc_coreutils_64_O0_logname,benign,clean,switch_guard,benign,0.70,17869,5314,4999,4944,55,370,0,0
icc_coreutils_64_O0_logname,benign,clean,switch_guard,benign,0.90,17869,5314,4768,4756,12,558,0,0
icc_coreutils_64_O0_logname,benign,clean,oracle,benign,0.50,17869,5314,5366,5196,170,118,0,0
icc_coreutils_64_O0_logname,benign,clean,oracle,benign,0.70,17869,5314,4999,4944,55,370,0,0
icc_coreutils_64_O0_logname,benign,clean,oracle,benign,0.90,17869,5314,4768,4756,12,558,0,0
icc_coreutils_64_O2_getlimits,benign,clean,stale,benign,0.50,29374,7746,7821,7505,316,241,0,0
icc_coreutils_64_O2_getlimits,benign,clean,stale,benign,0.70,29374,7746,7172,7137,35,609,0,0
icc_coreutils_64_O2_getlimits,benign,clean,stale,benign,0.90,29374,7746,7040,7024,16,722,0,0
icc_coreutils_64_O2_getlimits,benign,clean,switch_rule,benign,0.50,29374,7746,7821,7505,316,241,0,0
