name,status,code_bytes,n_cand,entropy,region_ent,s_glob,s_spat,s_nis,fire_glob,fire_spat,fire_any,fire_both,rule_pick,guard_pick,guard_vetoed,secs
ace__ace,too_large:1002480,0,0,NA,NA,NA,NA,NA,-1,-1,-1,-1,NA,NA,-1,0.00
age__age,too_large:1670995,0,0,NA,NA,NA,NA,NA,-1,-1,-1,-1,NA,NA,-1,0.00
age__age-keygen,too_large:776893,0,0,NA,NA,NA,NA,NA,-1,-1,-1,-1,NA,NA,-1,0.00
alacritty__alacritty,too_large:4882305,0,0,NA,NA,NA,NA,NA,-1,-1,-1,-1,NA,NA,-1,0.00
amber__amberc,too_large:1663299,0,0,NA,NA,NA,NA,NA,-1,-1,-1,-1,NA,NA,-1,0.00
anacrolix-dms__dms,too_large:4149715,0,0,NA,NA,NA,NA,NA,-1,-1,-1,-1,NA,NA,-1,0.00
anacrolix-dms__termsig,too_large:536182,0,0,NA,NA,NA,NA,NA,-1,-1,-1,-1,NA,NA,-1,0.00
apkverifier__apkverifier,too_large:1510867,0,0,NA,NA,NA,NA,NA,-1,-1,-1,-1,NA,NA,-1,0.00
appc-spec__actool,too_large:3395219,0,0,NA,NA,NA,NA,NA,-1,-1,-1,-1,NA,NA,-1,0.00
apt__apt,ok,2273,2128,5.358080,5.665572,0.506146,0.137709,320.984125,0,1,1,0,packed,benign,1,0.07
apt__apt-cache,ok,55171,50095,6.054554,5.932358,0.882866,0.080446,541.092966,0,0,0,0,benign,benign,0,5.16
apt__apt-cdrom,ok,6769,6141,5.729130,5.764966,0.948315,0.137960,488.996053,0,1,1,0,packed,benign,1,1.20
apt__apt-config,ok,9281,7988,5.993053,5.936438,0.624971,0.077880,417.245569,0,0,0,0,benign,benign,0,0.53
apt__apt-get,ok,19153,17327,5.859330,6.088539,0.786876,0.069096,468.732837,0,0,0,0,benign,benign,0,1.86
apt__apt-mark,ok,27827,25558,6.035540,6.118369,0.657738,0.050531,493.018519,0,0,0,0,benign,benign,0,2.14
aptitude__aptitude-curses,too_large:3038926,0,0,NA,NA,NA,NA,NA,-1,-1,-1,-1,NA,NA,-1,0.00
aria2__aria2c,ok,1169,1044,5.733234,5.598884,0.364221,0.243311,194.510683,0,1,1,0,packed,benign,1,0.03
at__at,ok,23766,21646,6.078227,6.155466,0.592162,0.076841,438.430430,0,0,0,0,benign,benign,0,5.04
at__atd,ok,7976,7274,5.796816,5.715189,0.529397,0.041295,369.973137,0,0,0,0,benign,benign,0,0.44
b3sum__b3sum,too_large:830945,0,0,NA,NA,NA,NA,NA,-1,-1,-1,-1,NA,NA,-1,0.00
bash__bash,too_large:785777,0,0,NA,NA,NA,NA,NA,-1,-1,-1,-1,NA,NA,-1,0.00
bash__clear_console,ok,1900,1700,5.894935,5.732174,0.546432,0.188826,278.961198,0,1,1,0,packed,benign,1,0.07
bat__batcat,too_large:2342328,0,0,NA,NA,NA,NA,NA,-1,-1,-1,-1,NA,NA,-1,0.00
bc__bc,ok,49281,44941,6.189510,6.323209,0.517617,0.081751,362.145535,0,0,0,0,benign,benign,0,12.41
bindgen__bindgen,too_large:2348481,0,0,NA,NA,NA,NA,NA,-1,-1,-1,-1,NA,NA,-1,0.00
binutils-multiarch__x86_64-linux-gnu-addr2line,ok,6447,5844,5.986649,5.990701,0.554646,0.061049,381.659238,0,0,0,0,benign,benign,0,0.27
binutils-multiarch__x86_64-linux-gnu-ar,ok,22472,20340,6.138844,6.052146,0.595652,0.073459,427.949529,0,0,0,0,benign,benign,0,2.02
binutils-multiarch__x86_64-linux-gnu-gprof,ok,69718,63919,6.179935,6.124035,0.571395,0.050647,393.168331,0,0,0,0,benign,benign,0,20.86
binutils-multiarch__x86_64-linux-gnu-nm,ok,16703,15135,6.118847,6.044257,0.523699,0.059330,389.818300,0,0,0,0,benign,benign,0,3.51
binutils-multiarch__x86_64-linux-gnu-objcopy,ok,89090,81232,6.297102,6.249388,0.586278,0.044181,429.185863,0,0,0,0,benign,benign,0,26.25
binutils-multiarch__x86_64-linux-gnu-objdump,ok,213352,196467,6.330775,6.476370,0.632942,0.071703,416.529062,0,0,0,0,benign,benign,0,91.13
binutils-multiarch__x86_64-linux-gnu-ranlib,ok,22472,20342,6.138945,6.056175,0.594352,0.073312,426.481748,0,0,0,0,benign,benign,0,2.02
binutils-multiarch__x86_64-linux-gnu-readelf,too_large:440886,0,0,NA,NA,NA,NA,NA,-1,-1,-1,-1,NA,NA,-1,0.00
binutils-multiarch__x86_64-linux-gnu-size,ok,6687,6076,5.983767,5.921425,0.582712,0.099445,353.814440,0,0,0,0,benign,benign,0,0.42
binutils-multiarch__x86_64-linux-gnu-strings,ok,10177,9259,6.182474,6.227250,0.633043,0.022869,451.635156,0,0,0,0,benign,benign,0,1.00
binutils-multiarch__x86_64-linux-gnu-strip,ok,89090,81218,6.297849,6.249388,0.586931,0.043644,430.374388,0,0,0,0,benign,benign,0,26.27
bison__bison,too_large:386094,0,0,NA,NA,NA,NA,NA,-1,-1,-1,-1,NA,NA,-1,0.00
blueprint-tools__bpfmt,too_large:774058,0,0,NA,NA,NA,NA,NA,-1,-1,-1,-1,NA,NA,-1,0.00
blueprint-tools__bpglob,too_large:671084,0,0,NA,NA,NA,NA,NA,-1,-1,-1,-1,NA,NA,-1,0.00
blueprint-tools__bpmodify,too_large:779597,0,0,NA,NA,NA,NA,NA,-1,-1,-1,-1,NA,NA,-1,0.00
blueprint-tools__microfactory,too_large:1008840,0,0,NA,NA,NA,NA,NA,-1,-1,-1,-1,NA,NA,-1,0.00
blueprint-tools__minibp,too_large:2156191,0,0,NA,NA,NA,NA,NA,-1,-1,-1,-1,NA,NA,-1,0.00
boinc-client__boinc,too_large:807723,0,0,NA,NA,NA,NA,NA,-1,-1,-1,-1,NA,NA,-1,0.00
boinc-client__boinccmd,ok,14158,11925,6.088751,5.918308,0.484958,0.033743,381.410237,0,0,0,0,benign,benign,0,1.25
bsdutils__logger,ok,24222,21948,6.111014,6.036356,0.513334,0.071329,340.858746,0,0,0,0,benign,benign,0,1.28
bsdutils__renice,ok,2398,2111,5.776735,5.813206,0.429007,0.021507,266.590854,0,0,0,0,benign,benign,0,0.07
