name,status,code_bytes,n_cand,entropy,region_ent,s_glob,s_spat,s_nis,fire_glob,fire_spat,fire_any,fire_both,rule_pick,guard_pick,guard_vetoed,secs
age__age-keygen,ok,776893,734074,6.198349,6.398399,0.651192,0.098398,458.882306,0,0,0,0,benign,benign,0,3023.83
cargo-binutils__rust-cov,ok,303537,285202,6.229115,6.427972,0.605130,0.073730,443.343547,0,0,0,0,benign,benign,0,67.84
cargo-binutils__rust-nm,ok,303537,285199,6.229096,6.427972,0.605134,0.073730,443.346106,0,0,0,0,benign,benign,0,67.26
ceph-common__rados,ok,379310,341834,6.178623,6.206877,0.790884,0.088152,501.284586,0,0,0,0,benign,benign,0,190.05
gocryptfs__statfs,ok,646154,609533,6.163119,6.355978,0.624223,0.098396,442.479033,0,0,0,0,benign,benign,0,2601.82
golang-github-etcd-io-gofail__gofail,ok,741354,700822,6.162249,6.365145,0.647368,0.096280,457.408425,0,0,0,0,benign,benign,0,2889.00
golang-golang-x-tools__benchcmp,ok,618822,584457,6.168242,6.356713,0.635038,0.097947,443.139043,0,0,0,0,benign,benign,0,2700.53
golang-golang-x-tools__file2fuzz,ok,654648,617919,6.194200,6.370207,0.645625,0.101951,450.733034,0,0,0,0,benign,benign,0,2782.92
llvm-14__llvm-pdbutil,ok,669822,634717,6.053962,6.249347,0.730403,0.086632,508.798741,0,0,0,0,benign,benign,0,371.75
mariadb-client__mariadb-waitpid,ok,306492,276688,6.396692,6.365788,0.481026,0.057074,298.624098,0,0,0,0,benign,benign,0,79.24
nasm__nasm,ok,264579,241077,6.369047,6.523622,0.582880,0.067840,401.450038,0,0,0,0,benign,benign,0,520.65
openssh-client__ssh,ok,739905,692928,6.199005,6.223592,0.548996,0.075706,372.149680,0,0,0,0,benign,benign,0,857.17
qtbase5-dev-tools__rcc,ok,394734,360384,6.252855,6.284831,0.783796,0.062955,474.297944,0,0,0,0,benign,benign,0,355.68
xml-rs__xml-analyze,ok,331457,311588,6.212597,6.447453,0.595483,0.070911,437.115341,0,0,0,0,benign,benign,0,74.79
zoxide__zoxide,ok,702848,663119,6.168125,6.472064,0.772633,0.085429,510.609276,0,0,0,0,benign,benign,0,2101.00
