pkg,version,source,arch,path,sha256,size,build_id,stripped,lang,text_bytes,dwarf_producer,opt_hint
ace,0.0.5-3.1+b11,golang-github-yosssi-ace,amd64,ace__ace,92c7dda62876c332b19bace2aba739f7a3b3ab9961892e7340bb2b343de69199,2242840,NA,yes,go,1002480,"NA",NA
age,1.1.1-1+b3,age,amd64,age__age,0e52299ea44efef0f6b94d6cd153ed5011c686ba818aedd6949bcbd3c0b6eb0f,3672144,d0e5766f5561d4695f650a05764e255d959349ff,yes,go,1670995,"NA",NA
age,1.1.1-1+b3,age,amd64,age__age-keygen,08692b7ba7dfdfc6ee76d0e64bb7e4b9ce084b6ba0b6354eb89cd2b7d3422c2f,1829784,NA,yes,go,776893,"NA",NA
alacritty,0.11.0-4,rust-alacritty,amd64,alacritty__alacritty,c6273a9e3ad239aa8d198028b8a0beffc60d8ec37361f1d0e3fad0df560ff3d7,7476256,b20fc432dc85b4f7460bdb4019a433ba7808082e,yes,c,4882305,"NA",NA
amber,0.0~git20171010.cdade1c-2+b5,golang-github-eknkc-amber,amd64,amber__amberc,c6072221193d4c41b7b3478892a45a9e346edcfe4113f04de559a4baa5cc4754,3544408,3c1daf64d83aa43c9301b31f8823d41dbff303ff,yes,go,1663299,"NA",NA
anacrolix-dms,1.5.0-2+b4,golang-github-anacrolix-dms,amd64,anacrolix-dms__dms,92ee27135f4d195d2cfce054da515637063f5786112b9ec85e63b47f86add78d,8426800,5881fb6fbe66a909aa0aced13083398864b40068,yes,go,4149715,"NA",NA
anacrolix-dms,1.5.0-2+b4,golang-github-anacrolix-dms,amd64,anacrolix-dms__termsig,a9abc0a16ec3ced5435e6433e1fa72cdcb0711551e939c79988c7c100f73e851,1234456,NA,yes,go,536182,"NA",NA
apkverifier,0.0~git20191015.7330a51-11+b4,golang-github-avast-apkverifier,amd64,apkverifier__apkverifier,c6e933caf958e2e60d8361d58c66453a583a7febe49e45ecd464dccf2e239f7d,3133888,f87072984070c76d610787ca479ee58a7e5e1dfe,yes,go,1510867,"NA",NA
appc-spec,0.8.11+dfsg-2.1+b11,golang-github-appc-spec,amd64,appc-spec__actool,4403e8e24ae8ad4028cd52b0dd98cc881f8ee47d358c9085eb7580f5d6762f3b,7037560,4a7a816da198bb18697c786fa398c2b2568f204c,yes,go,3395219,"NA",NA
apt,2.6.1,apt,amd64,apt__apt,44059b6dbfbc89c0748bcb6e630a4a9af6fe33ecbb87b8a45a9d3e88287eabec,18752,157631f2617f73dee730273c7c598fd4d17b7284,yes,cxx,2273,"NA",NA
apt,2.6.1,apt,amd64,apt__apt-cache,50aedfe7bc85326f1eeb838cddeea2bc29260851f7ade4e44756cdd7ebc00d60,88456,0e651a7cb1a6607d2ef7821cc7ad4b420b6d683c,yes,cxx,55171,"NA",NA
apt,2.6.1,apt,amd64,apt__apt-cdrom,038988aec1aec295d41fcc01a7e0a372a85d0ff6a8cfd310318111b97c56f5d3,22920,5add461a8e2fed32771c879fdfc69abfb8155641,yes,cxx,6769,"NA",NA
apt,2.6.1,apt,amd64,apt__apt-config,231139f082f153244419738c62d5cf7fa0152339f21b6cd0666a4c19c7abc660,26944,a976003cdc52998aeb2f095245fd64f24d3110d8,yes,cxx,9281,"NA",NA
apt,2.6.1,apt,amd64,apt__apt-get,c2117516d26cc559ccbd16252778d8ab8cee1ceac4be60e9c975e5c4bbbb47fe,51592,286f4abe2da6341ef32cf6c52bdb33604ebee8be,yes,cxx,19153,"NA",NA
apt,2.6.1,apt,amd64,apt__apt-mark,86bcb5892071b371c3ab6bceb1b1910e80b1339404c798873a7aaf01ee6997dd,59784,a4b996763122ab585ee0133525fbbd4b372420fc,yes,cxx,27827,"NA",NA
aptitude,0.8.13-5,aptitude,amd64,aptitude__aptitude-curses,94db94a1d16dc367b936ff3633c29413ef47856d3e978ebb12d00455cc5dbe1a,4281896,7b241a91e617342e555693ae8e22daf38a7276f9,yes,cxx,3038926,"NA",NA
aria2,1.36.0-1,aria2,amd64,aria2__aria2c,0e4a4cad4ab164a2f7b0ee70826b153a7bfd5c8614b4040b0af7c9d068dfbb07,14432,5bad17ecf3980c537dab7e804c3ea985ec4c7cbf,yes,cxx,1169,"NA",NA
at,3.2.5-1+b1,at,amd64,at__at,79ba082489f190aa86e1a3b0c38778c1a62e0c51b0ec227266fac508a6e0142f,59768,4d4156dc56c48426483e4a32acc7bfe3cd7dc141,yes,c,23766,"NA",NA
at,3.2.5-1+b1,at,amd64,at__atd,7024a699d850434ddff2ffd95b807a1cf8f425f9a43d51c882f94b8755056e03,30816,7d02a6399330dabb28e3a6e844492d884e89e88c,yes,c,7976,"NA",NA
b3sum,1.2.0-1+b4,rust-b3sum,amd64,b3sum__b3sum,98693908137c68d1a5caef8847eb91c4981ee3fc176dbab8aba6c13819f0a58d,1202704,c7ab3912ca609da532b16f9dcffbaca9ba9de399,yes,rust,830945,"NA",NA
bash,5.2.15-2+b13,bash,amd64,bash__bash,55b89ab22bee4792a210f493a53fb066accd5d30b69837c28d98be5ff863efcf,1265648,82a0acb92e6288fb69856b6bab91f23854738fb9,yes,c,785777,"NA",NA
bash,5.2.15-2+b13,bash,amd64,bash__clear_console,24dd58ec386be7ab32e9d92bc318d94d655d4b63a49b258cf69f0873241c90dd,14488,b260387cd1d27389e1686ba42246d1bf5fa46a23,yes,c,1900,"NA",NA
bat,0.22.1-4,rust-bat,amd64,bat__batcat,9efc2b8c33b5b5e7347c4fe146e640545d4868897cd7b18fd990652658377c4a,4703712,ece035ee1b5573d811b1dca8cfe28efcd9017854,yes,c,2342328,"NA",NA
bc,1.07.1-3+b1,bc,amd64,bc__bc,e0738dc0a3015eabc9b41fba79743c6969bc0e9b04a3cad7b03cc3b449d23832,96968,b0cf6d073d9d428197b897054ec102dd000b0a7e,yes,c,49281,"NA",NA
bindgen,0.60.1-2+b2,rust-bindgen,amd64,bindgen__bindgen,9eaf859a1090b255a7fa8253c27031c81853e94098ef627018649938fcad6722,3758672,0d73c70bb9fb08a1b64d3838e429130979c715c5,yes,c,2348481,"NA",NA
binutils-multiarch,2.40-2,binutils,amd64,binutils-multiarch__x86_64-linux-gnu-addr2line,600de6264a1120099239fa35db80781a11de854d98c68039dead90356f33cd97,23688,454e9dc00f281e816a01da9bb79f3ec1bfc8eb99,yes,c,6447,"NA",NA
binutils-multiarch,2.40-2,binutils,amd64,binutils-multiarch__x86_64-linux-gnu-ar,04f61642c62cfd828928161001fdd5c220acfebe2028d18acbada0e9d49d3eee,52392,fed484f8bd5288a1172dab9948c3e343c1cf37ea,yes,c,22472,"NA",NA
binutils-multiarch,2.40-2,binutils,amd64,binutils-multiarch__x86_64-linux-gnu-gprof,184057912fcb7a06796a910355d6050d5071d398964d0d51ab927f4e60b9df96,110944,f3a7996bea374eff53675322b3e23e1e5f087d56,yes,c,69718,"NA",NA
binutils-multiarch,2.40-2,binutils,amd64,binutils-multiarch__x86_64-linux-gnu-nm,661d9c4f650d4f47325c7535705f95210172167c10a99a44325ea05547bd185b,45080,51378110f75e8c1ebff30e9fab3ef072cd79ce81,yes,c,16703,"NA",NA
binutils-multiarch,2.40-2,binutils,amd64,binutils-multiarch__x86_64-linux-gnu-objcopy,14153f2efb313f257a9b20f5cebafe34bf77a8caece7b53889c732024fa02991,159392,33f144f92a23a51534d5d02719e911933cf0e15f,yes,c,89090,"NA",NA
binutils-multiarch,2.40-2,binutils,amd64,binutils-multiarch__x86_64-linux-gnu-objdump,5a0db23a90fad7e0229384c2b65cc895d9469d3b67c19dd34ca1ab0c1bd07d04,371256,a7097824d030757239b57c0570b23293cbf8ffbf,yes,c,213352,"NA",NA
binutils-multiarch,2.40-2,binutils,amd64,binutils-multiarch__x86_64-linux-gnu-ranlib,59f979bb7c00c153efdc8f736ab2693a9ed4ad1582741ecf4cac8e15177868e2,52392,7999428ed6579008d95660770a2ce214408f031d,yes,c,22472,"NA",NA
binutils-multiarch,2.40-2,binutils,amd64,binutils-multiarch__x86_64-linux-gnu-readelf,a065f3555b4381c9cc4c0169401acd12d1141012058b5e3c7c9d35d83baafd13,769400,9f0b57aeecfb7fd752b581ff3ae228f76c80fb5f,yes,c,440886,"NA",NA
binutils-multiarch,2.40-2,binutils,amd64,binutils-multiarch__x86_64-linux-gnu-size,261ce14f716b7016eec03f82988b136f180fc9087ab1fb81af99dd93ef29840d,27496,4f588637fcc14453a19012df9edb126bab4c6a8c,yes,c,6687,"NA",NA
binutils-multiarch,2.40-2,binutils,amd64,binutils-multiarch__x86_64-linux-gnu-strings,9c33bc8d45948ad4cc2e56225aad159a673cbf1fdfce95591ba6ca7a0f30bc33,31720,59f22d59d464a4164d89b1402afaa15ade53a64d,yes,c,10177,"NA",NA
binutils-multiarch,2.40-2,binutils,amd64,binutils-multiarch__x86_64-linux-gnu-strip,889a06514f39b5df6fa47b8e2d875d4e6ffc28fdd1c72d49b9cbd28bbe87c350,159424,310fda1d48087a1e4ef1a25d13107354fc9484f2,yes,c,89090,"NA",NA
bison,2:3.8.2+dfsg-1+b1,bison,amd64,bison__bison,6243e56f0cad02bfa253fc7ed38132297f909822dacd1060c71afab75cebd4a9,549664,9a12c243a9c757be28f81fa6687ac57603198712,yes,c,386094,"NA",NA
blueprint-tools,0.0~git20201007.25128be-2+b8,golang-github-google-blueprint,amd64,blueprint-tools__bpfmt,dfe02446b46ebe273b872a6e0d2a10a1bdcb5fd9ddbf035c982326eb7b56a14d,1685528,NA,yes,go,774058,"NA",NA
blueprint-tools,0.0~git20201007.25128be-2+b8,golang-github-google-blueprint,amd64,blueprint-tools__bpglob,c1650c3288461b9d6730eea949f3bad09e2168913012929ef647f815f8ff08ef,1476888,NA,yes,go,671084,"NA",NA
blueprint-tools,0.0~git20201007.25128be-2+b8,golang-github-google-blueprint,amd64,blueprint-tools__bpmodify,e707a835a661391013e4975db48e54428fcd9d3db23c8f56aa687e95f2d8994d,1697816,NA,yes,go,779597,"NA",NA
blueprint-tools,0.0~git20201007.25128be-2+b8,golang-github-google-blueprint,amd64,blueprint-tools__microfactory,ce9f1fd473a0ff55406cdb1791f8875f3680b23cd381846b55eb53ac06b14ed9,2112920,NA,yes,go,1008840,"NA",NA
blueprint-tools,0.0~git20201007.25128be-2+b8,golang-github-google-blueprint,amd64,blueprint-tools__minibp,fcb883c4c8762c2e524080bfecd68ff21515e9e1333f41cac85f14f1355001cb,4440952,NA,yes,go,2156191,"NA",NA
boinc-client,7.20.5+dfsg-1.1,boinc,amd64,boinc-client__boinc,59eff6a5ec722eb804539224878e2b3ba5ea95f7447fb6d7d0d78ec86688ec36,1001768,c390728c34bf364ff509d5554d9b11bdd15ba168,yes,cxx,807723,"NA",NA
boinc-client,7.20.5+dfsg-1.1,boinc,amd64,boinc-client__boinccmd,2b7c3675198039e9996d90f2e7fa92982d964b6c72f4f30bdd220760ea44cb07,39240,08e91f253848df84aa481e67741e2e2859d878fe,yes,cxx,14158,"NA",NA
bsdutils,1:2.38.1-5+deb12u3,util-linux,amd64,bsdutils__logger,6ed8be340b171bc5f64576cc667311530faa0dba9736c5b84f4e8a386458ab6f,56216,a54c65b14b3c22ce365e0df3d286070b0ac09b00,yes,c,24222,"NA",NA
bsdutils,1:2.38.1-5+deb12u3,util-linux,amd64,bsdutils__renice,cc701f54f452f8cee40e5cb5f37c28db6dce46c807965b22fcf248652eb49e07,14648,536d991dba49970488a85a12ab7166f0c7e3e272,yes,c,2398,"NA",NA
bsdutils,1:2.38.1-5+deb12u3,util-linux,amd64,bsdutils__script,2a6e4aa0ac56fd63c71a66edfa4c44f150ac69f52f0373bde17345f26ed80bfa,71992,ce85bcee63be6e34e11ef8195e6e5c3d0a4a664d,yes,c,35614,"NA",NA
bsdutils,1:2.38.1-5+deb12u3,util-linux,amd64,bsdutils__scriptlive,8f2048b69d151dd14cfdb83b67bd31f55856936f383c21c1b14fd0212d9a0e1d,55608,d98468d0d7ad60a3768a49b3f73e472ba9e1805f,yes,c,29214,"NA",NA
bsdutils,1:2.38.1-5+deb12u3,util-linux,amd64,bsdutils__scriptreplay,190a035ffc750ef5595bc343515c4594ae32e48586007a40bec77dc812d3c88a,47416,b2747cdc38d16b315c304a61174f7a4df7e711cb,yes,c,19854,"NA",NA
bsdutils,1:2.38.1-5+deb12u3,util-linux,amd64,bsdutils__wall,95705965505b80f9f49858096ac0344b94696065d9cc097e3ace8e81a0af42a9,39224,12335c8de043a8743e79716839aa2a4c819ac30d,yes,c,14926,"NA",NA
btrfs-progs,6.2-1+deb12u2,btrfs-progs,amd64,btrfs-progs__btrfs,27cc308bc2d0a7a899577e9ec1b10b78b626a36d3abca63b7522fa82fec522ff,925904,f5f920cb55a5163eb0ba9c80eb4eae485539d185,yes,c,496611,"NA",NA
btrfs-progs,6.2-1+deb12u2,btrfs-progs,amd64,btrfs-progs__btrfs-convert,35e0bed2d755ffa6da096c08e5bf88bf427e9d3e2edff0892f60c48ba82a7b5a,523448,3e528973728a6ee8b68088983503ecb111181af9,yes,c,275491,"NA",NA
btrfs-progs,6.2-1+deb12u2,btrfs-progs,amd64,btrfs-progs__btrfs-find-root,8f7903aeac25658b51da00e1754833abed885fc23d6b31dcf9bb9e133cd8d606,482488,9b032b601ec2c04730ef3a4b29ad77ce19618e3f,yes,c,247155,"NA",NA
btrfs-progs,6.2-1+deb12u2,btrfs-progs,amd64,btrfs-progs__btrfs-image,2c5295d47cea775613dbb153da9011319683d387640cda4294904409ffc271ef,511160,42c9950ed4eeab8341e8ce2cd91f1b6ce5153629,yes,c,265395,"NA",NA
btrfs-progs,6.2-1+deb12u2,btrfs-progs,amd64,btrfs-progs__btrfs-map-logical,46ca39208cf1329417255f1a2a8c5bd73e6e0f5f7738f54f401e212c69c91616,482488,1906fde5dbcae97c87f5273c155d2500bc692055,yes,c,247507,"NA",NA
btrfs-progs,6.2-1+deb12u2,btrfs-progs,amd64,btrfs-progs__btrfs-select-super,4dc29a2dd9b55615cbdb8e334d1ff3e0b9468677bfeb98a132a76bfef2e2ad8d,478392,3f77ab38f27d1c8b77065eef9700ff944adcd9db,yes,c,245683,"NA",NA
btrfs-progs,6.2-1+deb12u2,btrfs-progs,amd64,btrfs-progs__btrfstune,5ea36ff132e6a95ea8c42a41aef01d5bdd56befcdd8863036e1a97c043486cc3,490680,e8691cde984365343d70b648bb715031e76ec02d,yes,c,253283,"NA",NA
btrfs-progs,6.2-1+deb12u2,btrfs-progs,amd64,btrfs-progs__mkfs.btrfs,5a31d56fbec3b3797adddd28eaff52a0febcf88732a82d1007744a3ecf383287,515256,b5d2fcb83382e4fffb4c0ab4a37efde691325b78,yes,c,267155,"NA",NA
buildah,1.28.2+ds1-3+deb12u1+b3,golang-github-containers-buildah,amd64,buildah__buildah,62c3ab530b5022748b958589d7527280da88796eb3e577a0c5105d682a8e5d4d,20507104,7c36c39d044244ae4a6ecc43c493fe81594619fa,yes,go,10169468,"NA",NA
bzip2,1.0.8-5+b1,bzip2,amd64,bzip2__bunzip2,0295484aea2cd54ad0cc4f09fbea5a3285c3361d7db716809d1421a39adb8b91,39224,8d18f4acf8a1ac4fadbd4550b9a99eff9aeebdb1,yes,c,13349,"NA",NA
bzip2,1.0.8-5+b1,bzip2,amd64,bzip2__bzip2recover,a76bbd2cfebbcf4fb375377947222a5a741a722ac33d997880430bac59e99784,14568,adba5751c26e94d1a7335074792ce95caf088de3,yes,c,3351,"NA",NA
capnproto,0.9.2-2,capnproto,amd64,capnproto__capnp,c1dd509bf8f05135d1fe0b18c81d2d2a2ffa7192cdc0fffb086829e694c21e30,190864,6cd2963240dd6a392f4863dadd08b55d0af8c3a7,yes,cxx,85455,"NA",NA
capnproto,0.9.2-2,capnproto,amd64,capnproto__capnpc-c++,dd11178bd79a219a23d5e5988bb79cc22e8c2882ea3d2d9f1c16bc0258585f71,514448,947a8f73d98526531a3a24bc75b59a8d9924cd7d,yes,cxx,421762,"NA",NA
capnproto,0.9.2-2,capnproto,amd64,capnproto__capnpc-capnp,989e7ccaa536db6b30d5de90d0fe0b5eaaad7e5d3b6702cca9f5bda9514725c2,129424,749d0b515afa010ec9c8106e01599c17924fb999,yes,cxx,91271,"NA",NA
cargo-binutils,0.3.5-2+b2,rust-cargo-binutils,amd64,cargo-binutils__cargo-cov,3f65987c401f34ea6eef94b76d0eb109af2ce46fba66d919d087e679b58de5d5,3021496,22a3d64bc19de4377984bf6b1a076367ae16fa24,yes,c,1859137,"NA",NA
