stem,level,split,n,code_bytes,entropy,base_rate,s_glob,s_spat,ece_raw,ece_default,ece_oracle,ece_sig,ece_se,sig_pick,se_pick
cksum,O0,fit,18963,20972,5.724529,0.296208,1.099389,0.082482,0.015196,NA,NA,NA,NA,NA,NA
cksum,O1,fit,14518,15660,6.124729,0.274211,0.624745,0.072786,0.016961,NA,NA,NA,NA,NA,NA
cksum,O2,fit,15264,16732,6.238368,0.279547,0.636470,0.089187,0.021918,NA,NA,NA,NA,NA,NA
cksum,O3,fit,23456,25452,6.211293,0.265092,0.596093,0.064262,0.017508,NA,NA,NA,NA,NA,NA
expand,O0,fit,19875,21900,5.751427,0.296151,0.978472,0.072516,0.013980,NA,NA,NA,NA,NA,NA
expand,O1,fit,15312,16572,6.135794,0.274948,0.621178,0.080665,0.016318,NA,NA,NA,NA,NA,NA
expand,O2,fit,15994,17612,6.248027,0.280168,0.625781,0.078006,0.019468,NA,NA,NA,NA,NA,NA
expand,O3,fit,24284,26444,6.221782,0.265648,0.585897,0.071707,0.016147,NA,NA,NA,NA,NA,NA
head,O0,fit,26224,29024,5.742902,0.292747,1.169607,0.069322,0.011272,NA,NA,NA,NA,NA,NA
head,O1,fit,20124,21692,6.054109,0.271964,0.631767,0.033310,0.012155,NA,NA,NA,NA,NA,NA
head,O2,fit,20529,22508,6.222963,0.279263,0.695012,0.074979,0.018702,NA,NA,NA,NA,NA,NA
head,O3,fit,29006,31612,6.234932,0.268772,0.597774,0.080011,0.016133,NA,NA,NA,NA,NA,NA
stat,O0,fit,61134,69752,5.769839,0.285962,0.810299,0.085764,0.013727,NA,NA,NA,NA,NA,NA
stat,O1,fit,45177,49644,6.222908,0.271798,0.566193,0.049641,0.011239,NA,NA,NA,NA,NA,NA
stat,O2,fit,44558,49852,6.291741,0.273150,0.623347,0.085047,0.016816,NA,NA,NA,NA,NA,NA
stat,O3,fit,54476,60412,6.323466,0.270908,0.636811,0.071261,0.014211,NA,NA,NA,NA,NA,NA
md5sum,O0,fit,27560,30572,5.778791,0.301270,1.277832,0.087046,0.010838,NA,NA,NA,NA,NA,NA
md5sum,O1,fit,20716,22396,6.252871,0.276694,0.715680,0.076639,0.012699,NA,NA,NA,NA,NA,NA
md5sum,O2,fit,21092,23148,6.378713,0.280296,0.765144,0.075886,0.016966,NA,NA,NA,NA,NA,NA
md5sum,O3,fit,29368,32012,6.334152,0.268830,0.612406,0.061895,0.014505,NA,NA,NA,NA,NA,NA
cut,O0,fit,31082,33996,5.734940,0.294704,0.818947,0.074769,0.011733,NA,NA,NA,NA,NA,NA
cut,O1,fit,23617,25372,6.150353,0.275141,0.633975,0.080203,0.011382,NA,NA,NA,NA,NA,NA
cut,O2,fit,24090,26220,6.270760,0.279161,0.610760,0.084696,0.018104,NA,NA,NA,NA,NA,NA
cut,O3,fit,32643,35404,6.265746,0.269093,0.589135,0.066861,0.015525,NA,NA,NA,NA,NA,NA
dd,O0,fit,37595,41904,5.789539,0.286448,0.875374,0.067775,0.008994,NA,NA,NA,NA,NA,NA
dd,O1,fit,29664,31996,6.105974,0.267125,0.573520,0.049136,0.010044,NA,NA,NA,NA,NA,NA
dd,O2,fit,30892,33916,6.286873,0.273793,0.618305,0.063621,0.013567,NA,NA,NA,NA,NA,NA
dd,O3,fit,42180,46076,6.288430,0.266193,0.652471,0.096565,0.013004,NA,NA,NA,NA,NA,NA
sleep,O0,fit,19242,21244,5.739827,0.296487,0.912654,0.067671,0.015216,NA,NA,NA,NA,NA,NA
sleep,O1,fit,14658,15836,6.123571,0.275276,0.618545,0.072774,0.018273,NA,NA,NA,NA,NA,NA
sleep,O2,fit,15542,16988,6.240931,0.278922,0.651177,0.091638,0.022683,NA,NA,NA,NA,NA,NA
sleep,O3,fit,23684,25708,6.218268,0.265411,0.604092,0.075400,0.017831,NA,NA,NA,NA,NA,NA
seq,O0,fit,40354,45724,5.665839,0.285176,0.928320,0.102308,0.015394,NA,NA,NA,NA,NA,NA
seq,O1,fit,29984,33100,6.163758,0.269911,0.532819,0.035527,0.011199,NA,NA,NA,NA,NA,NA
seq,O2,fit,29263,32508,6.289382,0.271162,0.613930,0.074297,0.016908,NA,NA,NA,NA,NA,NA
seq,O3,fit,37830,41548,6.294079,0.265979,0.699668,0.091327,0.013851,NA,NA,NA,NA,NA,NA
mkdir,O0,fit,41693,47536,5.683226,0.289185,0.884626,0.097382,0.015830,NA,NA,NA,NA,NA,NA
mkdir,O1,fit,31290,34556,6.176951,0.273857,0.532644,0.041706,0.011890,NA,NA,NA,NA,NA,NA
mkdir,O2,fit,30767,34284,6.250291,0.272402,0.575311,0.075887,0.018574,NA,NA,NA,NA,NA,NA
mkdir,O3,fit,39302,43388,6.266534,0.268256,0.688258,0.107399,0.016531,NA,NA,NA,NA,NA,NA
date,O0,fit,44400,49616,5.765671,0.281914,1.126182,0.088734,0.020082,NA,NA,NA,NA,NA,NA
date,O1,fit,33737,36076,6.092188,0.258677,0.590548,0.090161,0.027334,NA,NA,NA,NA,NA,NA
date,O2,fit,33335,36412,6.231534,0.266357,0.588453,0.064094,0.024366,NA,NA,NA,NA,NA,NA
date,O3,fit,42995,46892,6.275213,0.262914,0.608528,0.081445,0.016121,NA,NA,NA,NA,NA,NA
id,O0,fit,21826,24124,5.774061,0.299322,0.920140,0.055086,0.013480,NA,NA,NA,NA,NA,NA
id,O1,fit,16941,18380,6.099360,0.275545,0.609539,0.059319,0.015700,NA,NA,NA,NA,NA,NA
id,O2,fit,17510,19292,6.234713,0.280754,0.671907,0.065006,0.019378,NA,NA,NA,NA,NA,NA
id,O3,fit,26240,28652,6.213718,0.267607,0.569353,0.051291,0.014455,NA,NA,NA,NA,NA,NA
chown,O0,holdout,43464,47976,5.756806,0.298891,0.919530,0.090651,0.010158,0.002071,0.001824,0.001824,0.001824,O0,O0
chown,O1,holdout,32479,34940,6.104759,0.275101,0.642583,0.066295,0.010365,0.003394,0.001615,0.003015,0.003015,O3,O3
chown,O2,holdout,34390,37932,6.200145,0.278279,0.693325,0.094866,0.017234,0.002078,0.002078,0.002078,0.001935,O2,O3
chown,O3,holdout,45368,49676,6.212198,0.268802,0.710946,0.102493,0.013869,0.001897,0.001700,0.001897,0.001700,O2,O3
tr,O0,holdout,29638,32540,5.738803,0.296680,0.872724,0.066956,0.011430,0.002476,0.001579,0.001579,0.001579,O0,O0
tr,O1,holdout,22152,23900,6.122562,0.270450,0.626313,0.042340,0.011998,0.002924,0.001423,0.001423,0.001423,O1,O1
tr,O2,holdout,22656,25020,6.270788,0.277851,0.657124,0.065856,0.016329,0.001547,0.001547,0.001629,0.001547,O3,O2
tr,O3,holdout,32264,35276,6.266784,0.266644,0.592872,0.075426,0.014135,0.003258,0.001643,0.001643,0.001643,O3,O3
paste,O0,holdout,20328,22380,5.739881,0.296389,0.907388,0.046471,0.014620,0.004602,0.002395,0.004776,0.002395,O1,O0
