name,regime,sublabel,n,code_bytes,base_rate,ece_always_benign,ece_oracle,ece_mmae,ece_clf,ece_rule,ece_guard,region_ent,mmae_pick,mmae_nis_pick,clf_pick,rule_pick,guard_pick,s_glob_benign_eng,s_spat_benign_eng,s_glob_packed_eng,s_glob_obf_eng,nis_benign_eng,nis_packed_eng,nis_obf_eng
cat.upxnrv__upxnrv,packed,upxnrv,19817,23141,0.000000,0.360556,0.000000,0.000000,0.000000,0.000000,0.000000,7.712104,packed,packed,packed,packed,packed,1.183582,0.222807,0.905262,1.298627,427.597196,261.042270,511.556125
comm.upxnrv__upxnrv,packed,upxnrv,16110,18709,0.000000,0.366725,0.000000,0.000000,0.000000,0.000000,0.000000,7.696315,packed,packed,packed,packed,packed,1.138418,0.183056,0.866448,1.254533,425.294025,266.732361,506.990504
cut.upxnrv__upxnrv,packed,upxnrv,20103,23413,0.000000,0.364030,0.000000,0.000000,0.000000,0.000000,0.000000,7.709277,packed,packed,packed,packed,packed,1.149110,0.209263,0.888296,1.256398,404.452353,248.737410,482.744157
fold.upxnrv__upxnrv,packed,upxnrv,14949,17445,0.000000,0.367614,0.000000,0.000000,0.000000,0.000000,0.000000,7.731762,packed,packed,packed,packed,packed,1.136135,0.203111,0.873433,1.246210,416.667932,268.537429,500.663746
head.upxnrv__upxnrv,packed,upxnrv,17760,20669,0.000000,0.361070,0.000000,0.000000,0.000000,0.000000,0.000000,7.699121,packed,packed,packed,packed,packed,1.121659,0.203999,0.858287,1.235689,425.701171,264.937003,513.434423
join.upxnrv__upxnrv,packed,upxnrv,19580,22781,0.000000,0.361575,0.000000,0.000000,0.000000,0.000000,0.000000,7.721267,packed,packed,packed,packed,packed,1.200841,0.206559,0.916170,1.324206,423.858332,263.753202,504.304777
nl.upxnrv__upxnrv,packed,upxnrv,44431,51453,0.000000,0.358002,0.000000,0.000000,0.000000,0.000000,0.000000,7.707806,packed,packed,packed,packed,packed,1.049873,0.192496,0.790313,1.160438,375.610016,216.673886,459.339042
paste.upxnrv__upxnrv,packed,upxnrv,14900,17229,0.000000,0.367614,0.000000,0.000000,0.000000,0.000000,0.000000,7.722868,packed,packed,packed,packed,packed,1.156329,0.217413,0.903254,1.267968,410.798936,258.727117,490.769733
tail.upxnrv__upxnrv,packed,upxnrv,27863,32469,0.000000,0.359550,0.000000,0.000000,0.000000,0.000000,0.000000,7.714447,packed,packed,packed,packed,packed,1.088320,0.207549,0.841932,1.197424,367.497718,223.346929,445.569197
tr.upxnrv__upxnrv,packed,upxnrv,20131,23453,0.000000,0.367506,0.000000,0.000000,0.000000,0.000000,0.000000,7.700193,packed,packed,packed,packed,packed,1.162138,0.203851,0.875228,1.276797,448.152725,276.909134,532.206785
uniq.upxnrv__upxnrv,packed,upxnrv,17662,20677,0.000000,0.370346,0.000000,0.000000,0.000000,0.000000,0.000000,7.722428,packed,packed,packed,packed,packed,1.058527,0.214459,0.792867,1.172888,410.783842,249.467080,487.378214
wc.upxnrv__upxnrv,packed,upxnrv,17892,20845,0.000000,0.362763,0.000000,0.000000,0.000000,0.000000,0.000000,7.714342,packed,packed,packed,packed,packed,1.075411,0.197332,0.816151,1.183815,399.054952,249.545441,475.150653
cat.upxlzma__upxlzma,packed,upxlzma,19702,22366,0.000000,0.373753,0.000000,0.000000,0.000000,0.000000,0.000000,7.841354,packed,packed,packed,packed,packed,0.936895,0.190827,0.671200,1.071583,384.734138,218.547944,500.490804
comm.upxlzma__upxlzma,packed,upxlzma,16525,18766,0.000000,0.372939,0.000000,0.000000,0.000000,0.000000,0.000000,7.832215,packed,packed,packed,packed,packed,0.996767,0.177410,0.744717,1.135542,395.034551,225.495960,522.023483
cut.upxlzma__upxlzma,packed,upxlzma,19962,22694,0.000000,0.376265,0.000000,0.000000,0.000000,0.000000,0.000000,7.838061,packed,packed,packed,packed,packed,0.866840,0.164319,0.616637,0.994535,365.166542,205.535041,482.315722
fold.upxlzma__upxlzma,packed,upxlzma,15530,17654,0.000000,0.379867,0.000000,0.000000,0.000000,0.000000,0.000000,7.832179,packed,packed,packed,packed,packed,0.888603,0.170068,0.641724,1.027712,390.943676,228.055474,524.785336
head.upxlzma__upxlzma,packed,upxlzma,18109,20526,0.000000,0.374311,0.000000,0.000000,0.000000,0.000000,0.000000,7.824542,packed,packed,packed,packed,packed,0.941526,0.191830,0.688432,1.082426,387.351284,228.476281,513.557606
join.upxlzma__upxlzma,packed,upxlzma,19470,22166,0.000000,0.384334,0.000000,0.000000,0.000000,0.000000,0.000000,7.841665,packed,packed,packed,packed,packed,0.944848,0.170364,0.690202,1.079446,381.500578,212.657374,502.076186
nl.upxlzma__upxlzma,packed,upxlzma,39532,45262,0.000000,0.377330,0.000000,0.000000,0.000000,0.000000,0.000000,7.848550,packed,packed,packed,packed,packed,0.932241,0.182922,0.673595,1.049096,356.432814,186.574963,452.864724
paste.upxlzma__upxlzma,packed,upxlzma,15474,17494,0.000000,0.379824,0.000000,0.000000,0.000000,0.000000,0.000000,7.832569,packed,packed,packed,packed,packed,0.859366,0.168061,0.634524,1.008004,363.791760,210.053379,496.694513
tail.upxlzma__upxlzma,packed,upxlzma,26480,30222,0.000000,0.378283,0.000000,0.000000,0.000000,0.000000,0.000000,7.846950,packed,packed,packed,packed,packed,0.947940,0.180124,0.679383,1.067940,373.185593,204.570002,474.795186
tr.upxlzma__upxlzma,packed,upxlzma,19995,22758,0.000000,0.381234,0.000000,0.000000,0.000000,0.000000,0.000000,7.834263,packed,packed,packed,packed,packed,0.938782,0.168030,0.685240,1.071531,373.562437,214.349096,491.199097
uniq.upxlzma__upxlzma,packed,upxlzma,18016,20382,0.000000,0.374547,0.000000,0.000000,0.000000,0.000000,0.000000,7.839980,packed,packed,packed,packed,packed,0.946259,0.192074,0.685879,1.082969,398.025683,233.841014,517.596423
wc.upxlzma__upxlzma,packed,upxlzma,17922,20414,0.000000,0.376499,0.000000,0.000000,0.000000,0.000000,0.000000,7.838643,packed,packed,packed,packed,packed,0.859268,0.168070,0.629745,0.989430,339.232672,192.702576,458.829886
cat.kite__kite,packed,kite,21914,24370,0.000000,0.367029,0.000000,0.000000,0.000000,0.000000,0.000000,7.901022,packed,packed,packed,packed,packed,0.790244,0.142089,0.658941,0.986314,381.019336,298.939916,605.890222
comm.kite__kite,packed,kite,20774,23182,0.000000,0.356908,0.000000,0.000000,0.000000,0.000000,0.000000,7.893040,packed,packed,packed,packed,packed,0.648934,0.146378,0.556184,0.840117,339.290150,279.565733,565.259938
cut.kite__kite,packed,kite,23489,26218,0.000000,0.354592,0.000000,0.000000,0.000000,0.000000,0.000000,7.895748,packed,packed,packed,packed,packed,0.665753,0.140804,0.547020,0.848331,331.890698,261.570315,540.377706
fold.kite__kite,packed,kite,20079,22473,0.000000,0.343049,0.000000,0.000000,0.000000,0.000000,0.000000,7.892896,packed,packed,packed,packed,packed,0.585612,0.140346,0.522978,0.771426,295.186351,262.798441,523.414003
head.kite__kite,packed,kite,20868,23348,0.000000,0.362642,0.000000,0.000000,0.000000,0.000000,0.000000,7.897030,packed,packed,packed,packed,packed,0.722575,0.141655,0.613435,0.915242,349.586836,286.083260,575.764635
join.kite__kite,packed,kite,22078,24783,0.000000,0.364376,0.000000,0.000000,0.000000,0.000000,0.000000,7.897225,packed,packed,packed,packed,packed,0.701817,0.156299,0.588663,0.885475,340.260750,277.968701,556.355326
nl.kite__kite,packed,kite,30282,34027,0.000000,0.371226,0.000000,0.000000,0.000000,0.000000,0.000000,7.905394,packed,packed,packed,packed,packed,0.778088,0.177830,0.612707,0.948238,350.596214,254.784661,533.997288
paste.kite__kite,packed,kite,20072,22439,0.000000,0.340969,0.000000,0.000000,0.000000,0.000000,0.000000,7.893035,packed,packed,packed,packed,packed,0.598537,0.153112,0.524003,0.790032,308.685737,267.374589,539.998012
tail.kite__kite,packed,kite,26301,29354,0.000000,0.360214,0.000000,0.000000,0.000000,0.000000,0.000000,7.906455,packed,packed,packed,packed,packed,0.776898,0.146234,0.626591,0.953730,361.872853,274.511250,557.341493
tr.kite__kite,packed,kite,22038,24653,0.000000,0.363004,0.000000,0.000000,0.000000,0.000000,0.000000,7.893496,packed,packed,packed,packed,packed,0.678131,0.144768,0.574837,0.865099,333.155776,272.904325,551.432226
uniq.kite__kite,packed,kite,21592,24057,0.000000,0.363902,0.000000,0.000000,0.000000,0.000000,0.000000,7.893284,packed,packed,packed,packed,packed,0.712631,0.138855,0.593975,0.898757,362.188641,291.224062,581.322424
wc.kite__kite,packed,kite,21029,23612,0.000000,0.355744,0.000000,0.000000,0.000000,0.000000,0.000000,7.890055,packed,packed,packed,packed,packed,0.698645,0.133993,0.583319,0.891191,352.551123,283.362655,579.027245
