name,seg_bytes,published_window_bytes,published_window_ent,validated_window_bytes,validated_window_ent,plaintext_prefix_bytes,plaintext_frac
cat.kite,24370,15786,7.3758,8704,7.9497,7082,0.4486
comm.kite,23182,14598,7.2753,7680,7.9438,6918,0.4739
cut.kite,26218,17634,7.4500,10240,7.9544,7394,0.4193
fold.kite,22473,13889,7.2092,6656,7.9471,7233,0.5208
head.kite,23348,14764,7.3152,7680,7.9485,7084,0.4798
join.kite,24783,16199,7.3829,9216,7.9555,6983,0.4311
nl.kite,34027,25443,7.6737,18432,7.9598,7011,0.2756
paste.kite,22439,13855,7.2031,6656,7.9429,7199,0.5196
tail.kite,29354,20770,7.5583,13824,7.9528,6946,0.3344
tr.kite,24653,16069,7.3742,8704,7.9506,7365,0.4583
uniq.kite,24057,15473,7.3509,8192,7.9466,7281,0.4706
wc.kite,23612,15028,7.3261,7680,7.9494,7348,0.4890
