name	label	n	code_bytes	region_ent	s_glob	s_spat	t_floored	fire_flat	fire_floored	rule_pick	guard_pick	rule_pick_floored	guard_pick_floored
k01.kite	ladder_packed	14298	15707	5.974718	0.474519	0.105056	0.124732	false	false	benign	benign	benign	benign
k01.upxlzma	ladder_packed	5494	6022	7.809581	0.794865	0.136039	0.158766	true	false	packed	packed	benign	benign
k01.upxnrv	ladder_packed	3299	3717	7.646486	1.245256	0.237699	0.184774	true	true	packed	packed	packed	packed
k02.kite	ladder_packed	14358	15773	5.974718	0.476412	0.106127	0.124616	true	false	packed	benign	benign	benign
k02.upxlzma	ladder_packed	5724	6270	7.816450	0.792691	0.102850	0.156949	false	false	benign	benign	benign	benign
k02.upxnrv	ladder_packed	3538	3981	7.612449	1.159745	0.223109	0.180804	true	true	packed	packed	packed	packed
k03.kite	ladder_packed	14416	15856	5.974718	0.486450	0.103932	0.124504	false	false	benign	benign	benign	benign
k03.upxlzma	ladder_packed	6117	6710	7.813757	0.750000	0.116910	0.154084	true	false	packed	packed	benign	benign
k03.upxnrv	ladder_packed	3921	4421	7.632292	1.108522	0.203489	0.175214	true	true	packed	packed	packed	packed
k04.kite	ladder_packed	14481	15922	5.974718	0.502004	0.118125	0.124380	true	false	packed	benign	benign	benign
k04.upxlzma	ladder_packed	6302	6910	7.818022	0.735514	0.116839	0.152829	true	false	packed	packed	benign	benign
k04.upxnrv	ladder_packed	4103	4629	7.654317	1.077471	0.201881	0.172837	true	true	packed	packed	packed	packed
k06.kite	ladder_packed	14607	16054	5.974718	0.483876	0.107613	0.124142	true	false	packed	benign	benign	benign
k06.upxlzma	ladder_packed	6514	7150	7.817910	0.709386	0.120754	0.151458	true	false	packed	packed	benign	benign
k06.upxnrv	ladder_packed	4332	4877	7.645038	1.043853	0.200635	0.170062	true	true	packed	packed	packed	packed
k08.kite	ladder_packed	14710	16186	5.974718	0.482308	0.097174	0.123949	false	false	benign	benign	benign	benign
k08.upxlzma	ladder_packed	6961	7630	7.814648	0.912807	0.118371	0.148774	true	false	packed	packed	benign	benign
k08.upxnrv	ladder_packed	4768	5357	7.641387	1.279594	0.189711	0.165341	true	true	packed	packed	packed	packed
k10.kite	ladder_packed	14897	16401	7.313944	0.498909	0.115488	0.123604	true	false	packed	packed	benign	benign
k10.upxlzma	ladder_packed	8271	9094	7.809581	0.957141	0.108748	0.142203	true	false	packed	packed	benign	benign
k10.upxnrv	ladder_packed	6072	6829	7.642775	1.287685	0.183143	0.154398	true	true	packed	packed	packed	packed
k12.kite	ladder_packed	15218	16797	7.279581	0.517967	0.111519	0.123028	true	false	packed	packed	benign	benign
k12.upxlzma	ladder_packed	8775	9654	7.812684	0.993905	0.121497	0.140077	true	false	packed	packed	benign	benign
k12.upxnrv	ladder_packed	6597	7405	7.641387	1.230207	0.183569	0.150939	true	true	packed	packed	packed	packed
