name	label	n	code_bytes	region_ent	s_glob	s_spat	t_floored	fire_flat	fire_floored	rule_pick	guard_pick	rule_pick_floored	guard_pick_floored
u01.kite	minu_packed	14297	15707	5.974718	0.473624	0.102943	0.124734	false	false	benign	benign	benign	benign
u02.kite	minu_packed	14358	15773	5.974718	0.479323	0.103951	0.124616	false	false	benign	benign	benign	benign
u03.kite	minu_packed	14414	15856	5.974718	0.484592	0.100856	0.124508	false	false	benign	benign	benign	benign
u03.upxnrv	minu_packed	4008	4469	7.621890	1.048690	0.206324	0.174058	true	true	packed	packed	packed	packed
u04.kite	minu_packed	14484	15922	5.974718	0.491372	0.104102	0.124374	false	false	benign	benign	benign	benign
u04.upxnrv	minu_packed	4207	4685	7.653065	1.107436	0.228723	0.171549	true	true	packed	packed	packed	packed
u06.kite	minu_packed	14604	16054	5.974718	0.509931	0.102885	0.124147	false	false	benign	benign	benign	benign
u06.upxlzma	minu_packed	6732	7358	7.817834	0.668976	0.142834	0.150115	true	false	packed	packed	benign	benign
u06.upxnrv	minu_packed	4523	5029	7.600273	0.966119	0.218959	0.167910	true	true	packed	packed	packed	packed
u08.kite	minu_packed	14722	16186	5.974718	0.498310	0.103947	0.123927	false	false	benign	benign	benign	benign
u08.upxlzma	minu_packed	7240	7894	7.825087	0.866004	0.115765	0.147226	true	false	packed	packed	benign	benign
u08.upxnrv	minu_packed	5037	5565	7.584950	1.205281	0.199606	0.162739	true	true	packed	packed	packed	packed
u10.kite	minu_packed	14890	16401	7.281479	0.516298	0.107416	0.123617	true	false	packed	packed	benign	benign
u10.upxlzma	minu_packed	8615	9470	7.818022	0.930329	0.147052	0.140731	true	true	packed	packed	packed	packed
u10.upxnrv	minu_packed	6409	7141	7.591274	1.221495	0.207537	0.152128	true	true	packed	packed	packed	packed
u12.kite	minu_packed	15207	16797	7.295571	0.534483	0.111165	0.123047	true	false	packed	packed	benign	benign
u12.upxlzma	minu_packed	9217	10126	7.809420	0.886101	0.143356	0.138357	true	true	packed	packed	packed	packed
u12.upxnrv	minu_packed	7017	7805	7.644551	1.188184	0.174525	0.148456	true	true	packed	packed	packed	packed
