name	label	n	code_bytes	region_ent	s_glob	s_spat	t_floored	fire_flat	fire_floored	rule_pick	guard_pick	rule_pick_floored	guard_pick_floored
p01_statemachine.kite	packed	14347	15773	5.974718	0.474183	0.103861	0.124637	false	false	benign	benign	benign	benign
p01_statemachine.kiten	packed	7902	8584	5.913357	0.454463	0.166536	0.143888	true	true	packed	benign	packed	benign
p01_statemachine.upxlzma	packed	6178	6758	7.812603	0.739054	0.155869	0.153664	true	true	packed	packed	packed	packed
p01_statemachine.upxnrv	packed	4030	4557	7.592249	1.051875	0.231479	0.173771	true	true	packed	packed	packed	packed
p02_insertsort.kite	packed	14354	15773	5.974718	0.483158	0.093705	0.124623	false	false	benign	benign	benign	benign
p02_insertsort.kiten	packed	7904	8584	5.913357	0.453070	0.166121	0.143878	true	true	packed	benign	packed	benign
p02_insertsort.upxlzma	packed	6103	6694	7.815340	0.727838	0.130008	0.154181	true	false	packed	packed	benign	benign
p02_insertsort.upxnrv	packed	3954	4493	7.612449	1.268586	0.234392	0.174771	true	true	packed	packed	packed	packed
p05_vm.kite	packed	14367	15790	5.974718	0.484901	0.103399	0.124598	false	false	benign	benign	benign	benign
p05_vm.kiten	packed	7905	8584	5.913357	0.452751	0.162994	0.143873	true	true	packed	benign	packed	benign
p05_vm.upxlzma	packed	6225	6846	7.817834	0.755731	0.141263	0.153345	true	false	packed	packed	benign	benign
p05_vm.upxnrv	packed	4088	4645	7.655218	1.123240	0.241924	0.173027	true	true	packed	packed	packed	packed
p06_parser.kite	packed	14356	15773	5.974718	0.477680	0.091645	0.124620	false	false	benign	benign	benign	benign
p06_parser.kiten	packed	7900	8584	5.913357	0.454017	0.167765	0.143897	true	true	packed	benign	packed	benign
p06_parser.upxlzma	packed	6045	6630	7.821663	0.716479	0.147276	0.154588	true	false	packed	packed	benign	benign
p06_parser.upxnrv	packed	3879	4421	7.632292	1.124232	0.243369	0.175787	true	true	packed	packed	packed	packed
p07_crc.kite	packed	14358	15773	5.974718	0.477238	0.104918	0.124616	false	false	benign	benign	benign	benign
p07_crc.kiten	packed	7903	8584	5.913357	0.454419	0.168019	0.143883	true	true	packed	benign	packed	benign
p07_crc.upxlzma	packed	5939	6526	7.810162	0.803821	0.142939	0.155346	true	false	packed	packed	benign	benign
p07_crc.upxnrv	packed	3789	4317	7.630610	1.137671	0.253793	0.177045	true	true	packed	packed	packed	packed
p08_binsearch.kite	packed	14341	15773	5.974718	0.475558	0.102419	0.124648	false	false	benign	benign	benign	benign
p08_binsearch.kiten	packed	7901	8584	5.913357	0.453971	0.167782	0.143892	true	true	packed	benign	packed	benign
p08_binsearch.upxlzma	packed	5980	6582	7.812684	0.708619	0.157163	0.155050	true	true	packed	packed	packed	packed
p08_binsearch.upxnrv	packed	3854	4381	7.641204	1.132183	0.257950	0.176132	true	true	packed	packed	packed	packed
p09_matmul.kite	packed	14354	15773	5.974718	0.473985	0.104543	0.124623	false	false	benign	benign	benign	benign
p09_matmul.kiten	packed	7903	8584	5.913357	0.454560	0.165772	0.143883	true	true	packed	benign	packed	benign
p09_matmul.upxlzma	packed	6189	6790	7.818104	0.783146	0.141125	0.153589	true	false	packed	packed	benign	benign
p09_matmul.upxnrv	packed	4053	4589	7.592059	1.200065	0.270649	0.173474	true	true	packed	packed	packed	packed
p10_collatz.kite	packed	14348	15773	5.974718	0.476837	0.101603	0.124635	false	false	benign	benign	benign	benign
p10_collatz.kiten	packed	7902	8584	5.913357	0.454519	0.172236	0.143888	true	true	packed	benign	packed	benign
p10_collatz.upxlzma	packed	5954	6542	7.809420	0.793369	0.166694	0.155238	true	true	packed	packed	packed	packed
p10_collatz.upxnrv	packed	3809	4333	7.641387	1.241617	0.266497	0.176761	true	true	packed	packed	packed	packed
p12_modpow.kite	packed	14356	15773	5.974718	0.474110	0.105089	0.124620	false	false	benign	benign	benign	benign
p12_modpow.kiten	packed	7905	8584	5.913357	0.454947	0.163488	0.143873	true	true	packed	benign	packed	benign
p12_modpow.upxlzma	packed	6169	6774	7.811237	0.725227	0.155371	0.153726	true	true	packed	packed	packed	packed
p12_modpow.upxnrv	packed	4027	4573	7.588147	1.085394	0.218435	0.173810	true	true	packed	packed	packed	packed
