name,arm,program,packer,build,packed,n,code_bytes,region_ent,s_glob,s_spat,t_n,fire_flat,fire_tn,rule_pick,guard_pick,rule_pick_tn,guard_pick_tn,gt_kind,ece_always_benign,ece_oracle,ece_rule,ece_guard
cat.kite__kite,breadth_reference,cat,kite,debian_coreutils,True,21914,24370,7.901022,0.790244,0.142089,0.114062,true,true,packed,packed,,,provable_data_mixed,0.367029,0.000000,0.000000,0.000000
comm.kite__kite,breadth_reference,comm,kite,debian_coreutils,True,20774,23182,7.893040,0.648934,0.146378,0.115275,true,true,packed,packed,,,provable_data_mixed,0.356908,0.000000,0.000000,0.000000
cut.kite__kite,breadth_reference,cut,kite,debian_coreutils,True,23489,26218,7.895748,0.665753,0.140804,0.112533,true,true,packed,packed,,,provable_data_mixed,0.354592,0.000000,0.000000,0.000000
fold.kite__kite,breadth_reference,fold,kite,debian_coreutils,True,20079,22473,7.892896,0.585612,0.140346,0.116065,true,true,packed,packed,,,provable_data_mixed,0.343049,0.000000,0.000000,0.000000
head.kite__kite,breadth_reference,head,kite,debian_coreutils,True,20868,23348,7.897030,0.722575,0.141655,0.115172,true,true,packed,packed,,,provable_data_mixed,0.362642,0.000000,0.000000,0.000000
join.kite__kite,breadth_reference,join,kite,debian_coreutils,True,22078,24783,7.897225,0.701817,0.156299,0.113895,true,true,packed,packed,,,provable_data_mixed,0.364376,0.000000,0.000000,0.000000
nl.kite__kite,breadth_reference,nl,kite,debian_coreutils,True,30282,34027,7.905394,0.778088,0.177830,0.107368,true,true,packed,packed,,,provable_data_mixed,0.371226,0.000000,0.000000,0.000000
paste.kite__kite,breadth_reference,paste,kite,debian_coreutils,True,20072,22439,7.893035,0.598537,0.153112,0.116074,true,true,packed,packed,,,provable_data_mixed,0.340969,0.000000,0.000000,0.000000
tail.kite__kite,breadth_reference,tail,kite,debian_coreutils,True,26301,29354,7.906455,0.776898,0.146234,0.110152,true,true,packed,packed,,,provable_data_mixed,0.360214,0.000000,0.000000,0.000000
tr.kite__kite,breadth_reference,tr,kite,debian_coreutils,True,22038,24653,7.893496,0.678131,0.144768,0.113935,true,true,packed,packed,,,provable_data_mixed,0.363004,0.000000,0.000000,0.000000
uniq.kite__kite,breadth_reference,uniq,kite,debian_coreutils,True,21592,24057,7.893284,0.712631,0.138855,0.114395,true,true,packed,packed,,,provable_data_mixed,0.363902,0.000000,0.000000,0.000000
wc.kite__kite,breadth_reference,wc,kite,debian_coreutils,True,21029,23612,7.890055,0.698645,0.133993,0.114995,true,true,packed,packed,,,provable_data_mixed,0.355744,0.000000,0.000000,0.000000
cat.kiten__kiten,breadth_reference,cat,kiten,debian_coreutils,True,7899,8584,5.913357,0.454187,0.167986,0.143902,true,true,packed,benign,,,routing_only,0.282905,0.000000,0.000000,0.282905
comm.kiten__kiten,breadth_reference,comm,kiten,debian_coreutils,True,7904,8584,5.913357,0.464668,0.164374,0.143878,true,true,packed,benign,,,routing_only,0.283274,0.000000,0.000000,0.283274
cut.kiten__kiten,breadth_reference,cut,kiten,debian_coreutils,True,7899,8584,5.913357,0.453196,0.166829,0.143902,true,true,packed,benign,,,routing_only,0.282942,0.000000,0.000000,0.282942
