binary,obf,struct,mode,leak_floor,prec_at_0_5,decoy_from
computed_goto,code-in-data,tiled,E1_cover,647,0.1573,0x1321
computed_goto,code-in-data,tiled,E2_confirm,120,0.1671,0x1321
switch_dense,code-in-data,tiled,E1_cover,501,0.2273,0x14b1
switch_dense,code-in-data,tiled,E2_confirm,501,0.2352,0x14b1
switch_tailcall,code-in-data,tiled,E1_cover,495,0.1568,0x1311
switch_tailcall,code-in-data,tiled,E2_confirm,105,0.17,0x1311
vtable_codec,code-in-data,tiled,E1_cover,460,0.1815,0x1401
vtable_codec,code-in-data,tiled,E2_confirm,460,0.2048,0x1401
vtable_shapes,code-in-data,tiled,E1_cover,502,0.1859,0x13b1
vtable_shapes,code-in-data,tiled,E2_confirm,300,0.2142,0x13b1
gcc_coreutils_64_O2_ls_disconnected,decoy-heavy,disconnected,E1_cover,12139,0.5419,0x4132bc
gcc_coreutils_64_O2_ls_disconnected,decoy-heavy,disconnected,E2_confirm,0,0.9632,0x4132bc
gcc_coreutils_64_O2_ls_high-posterior,decoy-heavy,high-posterior,E1_cover,11636,0.5526,0x4132bc
gcc_coreutils_64_O2_ls_high-posterior,decoy-heavy,high-posterior,E2_confirm,0,0.9985,0x4132bc
gcc_coreutils_64_O2_ls_interleaved,decoy-heavy,interleaved,E1_cover,24367,0.5376,0x403a15
gcc_coreutils_64_O2_ls_interleaved,decoy-heavy,interleaved,E2_confirm,7725,0.539,0x403a15
gcc_coreutils_64_O2_ls_mixed,decoy-heavy,mixed,E1_cover,12378,0.5371,0x4132bc
gcc_coreutils_64_O2_ls_mixed,decoy-heavy,mixed,E2_confirm,0,0.9642,0x4132bc
gcc_coreutils_64_O2_ls_self-anchoring,decoy-heavy,self-anchoring,E1_cover,13212,0.5208,0x4132bc
gcc_coreutils_64_O2_ls_self-anchoring,decoy-heavy,self-anchoring,E2_confirm,108,0.9476,0x4132bc
