struct,rule,step,head,real,f_prior,eig,tp9
disconnected,eig,1,0x407330,1,0.5,-379.6312,5646
disconnected,eig,2,0x412c90,1,0.7621,-208.231,5786
disconnected,eig,3,0x411ba0,1,0.8522,629.7063,6816
disconnected,eig,4,0x40ed30,1,0.8412,139.7851,7027
disconnected,eig,5,0x40ba70,1,0.7998,136.0915,7230
disconnected,eig,6,0x40bd10,1,0.9469,115.8067,7540
disconnected,eig,7,0x41c093,0,0.7994,90.0739,7540
disconnected,eig,8,0x405ea0,1,0.5,238.4496,7956
disconnected,certified,1,0x404dd0,1,0.5,,7335
disconnected,certified,2,0x405300,1,0.5,,7393
disconnected,certified,3,0x405ea0,1,0.5,,8054
disconnected,certified,4,0x4069f0,1,0.5,,8316
disconnected,certified,5,0x407330,1,0.5,,9206
disconnected,certified,6,0x40d623,0,0.5,,9206
disconnected,certified,7,0x40d973,0,0.5,,9206
disconnected,certified,8,0x40e6f0,1,0.5,,9221
high-posterior,eig,1,0x407330,1,0.5,126.7709,8726
high-posterior,eig,2,0x405ea0,1,0.5,207.4266,9261
high-posterior,eig,3,0x404b00,1,0.5355,58.833,9398
high-posterior,eig,4,0x410720,1,0.5993,42.2963,9486
high-posterior,eig,5,0x4069f0,1,0.5,36.2488,9577
high-posterior,eig,6,0x40a140,1,0.5355,36.6815,9660
high-posterior,eig,7,0x412c90,1,0.7124,34.7648,9679
high-posterior,eig,8,0x42050f,0,0.5355,32.6795,9679
high-posterior,certified,1,0x404dd0,1,0.5,,8483
high-posterior,certified,2,0x405300,1,0.5,,8541
high-posterior,certified,3,0x405ea0,1,0.5,,9006
high-posterior,certified,4,0x4069f0,1,0.5,,9097
high-posterior,certified,5,0x407330,1,0.5,,9657
high-posterior,certified,6,0x40d623,0,0.5,,9657
high-posterior,certified,7,0x40d973,0,0.5,,9657
high-posterior,certified,8,0x40e6f0,1,0.5,,9672
interleaved,eig,1,0x40ff70,0,0.6352,0.0673,0
interleaved,eig,2,0x411300,0,0.5,0.0108,0
interleaved,eig,3,0x40ff00,0,0.7749,0.0,0
interleaved,eig,4,0x41e640,0,0.75,0.0,0
interleaved,eig,5,0x40ec40,0,0.6852,0.0,0
interleaved,eig,6,0x41dda0,0,0.5948,0.0,0
interleaved,eig,7,0x4040db,0,0.5686,0.0,0
interleaved,eig,8,0x4201b0,0,0.5499,0.0,0
interleaved,certified,1,0x403370,0,0.0998,,0
interleaved,certified,2,0x403390,0,0.0998,,0
interleaved,certified,3,0x4033a0,0,0.0998,,0
interleaved,certified,4,0x403430,0,0.0998,,0
interleaved,certified,5,0x403570,0,0.0998,,0
interleaved,certified,6,0x4035d0,0,0.0998,,0
interleaved,certified,7,0x403660,0,0.0998,,0
interleaved,certified,8,0x403670,0,0.0998,,0
mixed,eig,1,0x405ea0,1,0.5,-1236.0011,5476
mixed,eig,2,0x411ba0,1,0.8701,191.9085,5830
mixed,eig,3,0x412c90,1,0.6924,150.7004,6082
mixed,eig,4,0x40ed30,1,0.6956,144.6471,6337
mixed,eig,5,0x40ba70,1,0.6357,124.779,6571
mixed,eig,6,0x406470,1,0.6329,175.5043,6945
mixed,eig,7,0x40bd10,1,0.8532,110.1245,7101
mixed,eig,8,0x40c730,1,0.8532,97.8279,7310
mixed,certified,1,0x40d3c3,0,0.149,,7635
mixed,certified,2,0x40d453,0,0.149,,7635
mixed,certified,3,0x40d4b3,0,0.149,,7635
mixed,certified,4,0x40d583,0,0.149,,7635
mixed,certified,5,0x40d5b3,0,0.149,,7635
mixed,certified,6,0x40d603,0,0.149,,7635
mixed,certified,7,0x40d6f3,0,0.149,,7635
mixed,certified,8,0x41de7f,0,0.1399,,7635
self-anchoring,eig,1,0x407330,1,0.5,-2000.8382,1817
self-anchoring,eig,2,0x411ba0,1,0.8036,221.3548,1800
self-anchoring,eig,3,0x409960,1,0.8696,135.4143,2095
self-anchoring,eig,4,0x406470,1,0.9016,117.486,2372
self-anchoring,eig,5,0x40cd00,1,0.8696,111.4792,2641
self-anchoring,eig,6,0x40d9c3,0,0.7859,77.697,2641
self-anchoring,eig,7,0x412c90,1,0.6551,70.1572,2641
self-anchoring,eig,8,0x40ed30,1,0.7058,62.0724,2641
self-anchoring,certified,1,0x402ce6,0,0.0998,,7206
self-anchoring,certified,2,0x40466a,0,0.0998,,7206
self-anchoring,certified,3,0x404980,1,0.0998,,7217
self-anchoring,certified,4,0x405110,1,0.0998,,7230
self-anchoring,certified,5,0x40553a,0,0.0998,,7230
self-anchoring,certified,6,0x40a260,1,0.0998,,7352
self-anchoring,certified,7,0x40d4c3,0,0.0998,,7352
self-anchoring,certified,8,0x40d503,0,0.0998,,7352
