binary,obf,struct,rung,n_A0,n_Ak,beta_A0,h_beta_A0,U0_A0_achiever,tight_verdict,U_entropy_Ak,U_bayes_Ak,n_misclass_Ak,leak_rate_Ak,n_decoy_Ak,pinned_n,pinned_mean_H,reached_n,align_ok,e_type,ambig_provenance,status
computed_goto,code-in-data,tiled,R0,1189,1189,0.1682,0.6536,0.148,below_bound(-0.506),0.148,0.0251,300,0.2523,989,0,,56,True,2,tiled_real_starts,ok
computed_goto,code-in-data,tiled,R2,1189,144,0.1682,0.6536,0.1094,,0.2385,0.0398,144,1.0,0,1045,0.0916,56,True,2,tiled_real_starts,ok
computed_goto,code-in-data,tiled,R3,1189,144,0.1682,0.6536,0.1094,,0.2385,0.0398,144,1.0,0,1045,0.0916,56,True,2,tiled_real_starts,ok
computed_goto,code-in-data,tiled,R4,1189,120,0.1682,0.6536,0.0882,,0.1863,0.0288,120,1.0,0,1069,0.0772,80,True,2,tiled_real_starts,ok
computed_goto,code-in-data,tiled,R5,1189,56,0.1682,0.6536,0.0882,,0.1813,0.0279,56,1.0,0,1133,0.0836,144,True,2,tiled_real_starts,ok
switch_dense,code-in-data,tiled,R0,1252,1252,0.23,0.7781,0.2367,below_bound(-0.541),0.2367,0.0454,320,0.2556,964,0,,43,True,2,tiled_real_starts,ok
switch_dense,code-in-data,tiled,R2,1252,245,0.23,0.7781,0.1945,,0.3376,0.0651,245,1.0,0,1007,0.1597,43,True,2,tiled_real_starts,ok
switch_dense,code-in-data,tiled,R3,1252,245,0.23,0.7781,0.1945,,0.3376,0.0651,245,1.0,0,1007,0.1597,43,True,2,tiled_real_starts,ok
switch_dense,code-in-data,tiled,R4,1252,221,0.23,0.7781,0.1916,,0.3356,0.0646,221,1.0,0,1031,0.1607,67,True,2,tiled_real_starts,ok
switch_dense,code-in-data,tiled,R5,1252,157,0.23,0.7781,0.1916,,0.3231,0.0616,157,1.0,0,1095,0.1728,131,True,2,tiled_real_starts,ok
switch_tailcall,code-in-data,tiled,R0,1215,1215,0.1679,0.6529,0.1745,below_bound(-0.478),0.1745,0.0317,299,0.2461,1011,0,,45,True,2,tiled_real_starts,ok
switch_tailcall,code-in-data,tiled,R2,1215,159,0.1679,0.6529,0.1398,,0.3918,0.1189,159,1.0,0,1056,0.1019,45,True,2,tiled_real_starts,ok
switch_tailcall,code-in-data,tiled,R3,1215,159,0.1679,0.6529,0.1398,,0.3918,0.1189,159,1.0,0,1056,0.1019,45,True,2,tiled_real_starts,ok
switch_tailcall,code-in-data,tiled,R4,1215,117,0.1679,0.6529,0.1328,,0.3984,0.1232,117,1.0,0,1098,0.1045,87,True,2,tiled_real_starts,ok
switch_tailcall,code-in-data,tiled,R5,1215,37,0.1679,0.6529,0.1328,,0.1696,0.0257,37,1.0,0,1178,0.1316,167,True,2,tiled_real_starts,ok
vtable_codec,code-in-data,tiled,R0,1242,1242,0.2069,0.7356,0.2341,below_bound(-0.501),0.2341,0.0454,291,0.2343,985,0,,76,True,2,tiled_real_starts,ok
vtable_codec,code-in-data,tiled,R2,1242,181,0.2069,0.7356,0.1066,,0.1874,0.0291,181,1.0,0,1061,0.0928,76,True,2,tiled_real_starts,ok
vtable_codec,code-in-data,tiled,R3,1242,181,0.2069,0.7356,0.1066,,0.1874,0.0291,181,1.0,0,1061,0.0928,76,True,2,tiled_real_starts,ok
vtable_codec,code-in-data,tiled,R4,1242,125,0.2069,0.7356,0.0802,,0.1326,0.0186,125,1.0,0,1117,0.0743,132,True,2,tiled_real_starts,ok
vtable_codec,code-in-data,tiled,R5,1242,29,0.2069,0.7356,0.0802,,0.1161,0.0159,29,1.0,0,1213,0.0793,228,True,2,tiled_real_starts,ok
vtable_shapes,code-in-data,tiled,R0,1231,1231,0.1909,0.7034,0.1983,below_bound(-0.505),0.1983,0.0359,257,0.2088,996,0,,76,True,2,tiled_real_starts,ok
vtable_shapes,code-in-data,tiled,R2,1231,159,0.1909,0.7034,0.2033,,0.3638,0.0779,159,1.0,0,1072,0.1795,76,True,2,tiled_real_starts,ok
vtable_shapes,code-in-data,tiled,R3,1231,159,0.1909,0.7034,0.2033,,0.3638,0.0779,159,1.0,0,1072,0.1795,76,True,2,tiled_real_starts,ok
vtable_shapes,code-in-data,tiled,R4,1231,81,0.1909,0.7034,0.1226,,0.2201,0.0377,81,1.0,0,1150,0.1157,154,True,2,tiled_real_starts,ok
vtable_shapes,code-in-data,tiled,R5,1231,25,0.1909,0.7034,0.1226,,0.1449,0.022,25,1.0,0,1206,0.1221,210,True,2,tiled_real_starts,ok
gcc_coreutils_64_O2_ls_disconnected,decoy-heavy,disconnected,R0,18142,18142,0.9327,0.3558,0.4163,gap(+0.061),0.4163,0.0852,1705,0.094,1221,0,,7370,True,2,manifest.decoy_entries,ok
gcc_coreutils_64_O2_ls_disconnected,decoy-heavy,disconnected,R2,18142,9551,0.9327,0.3558,0.2921,,0.5038,0.118,6465,0.6769,0,8591,0.0568,7370,True,2,manifest.decoy_entries,ok
gcc_coreutils_64_O2_ls_disconnected,decoy-heavy,disconnected,R3,18142,9551,0.9327,0.3558,0.2924,,0.5044,0.1181,6465,0.6769,0,8591,0.0568,7370,True,2,manifest.decoy_entries,ok
gcc_coreutils_64_O2_ls_disconnected,decoy-heavy,disconnected,R4,18142,5656,0.9327,0.3558,0.239,,0.4712,0.1094,5508,0.9738,0,12486,0.1338,11265,True,2,manifest.decoy_entries,ok
gcc_coreutils_64_O2_ls_disconnected,decoy-heavy,disconnected,R5,18142,4130,0.9327,0.3558,0.1745,,0.3896,0.08,3982,0.9642,0,14012,0.1111,12791,True,2,manifest.decoy_entries,ok
gcc_coreutils_64_O2_ls_high-posterior,decoy-heavy,high-posterior,R0,18335,18335,0.9229,0.392,0.4005,TIGHT(+0.009),0.4005,0.0805,2143,0.1169,1414,0,,7370,True,2,manifest.decoy_entries,ok
gcc_coreutils_64_O2_ls_high-posterior,decoy-heavy,high-posterior,R2,18335,9551,0.9229,0.392,0.2466,,0.4162,0.0939,6491,0.6796,0,8784,0.0623,7370,True,2,manifest.decoy_entries,ok
