binary,obf,struct,variant,n_ambig,n_real,beta0,h_beta0,U0_achiever,gap,verdict,provenance
computed_goto,code-in-data,tiled,A1_full,1189,200,0.1682,0.6536,0.148,-0.5056,below_bound(check),tiled_real_starts
computed_goto,code-in-data,tiled,A2_confusable,1189,200,0.1682,0.6536,0.148,-0.5056,below_bound(check),tiled_real_starts
computed_goto,code-in-data,tiled,A3_band,27,2,0.0741,0.3809,0.2955,-0.0855,below_bound(check),tiled_real_starts
switch_dense,code-in-data,tiled,A1_full,1252,288,0.23,0.7781,0.2367,-0.5414,below_bound(check),tiled_real_starts
switch_dense,code-in-data,tiled,A2_confusable,1252,288,0.23,0.7781,0.2367,-0.5414,below_bound(check),tiled_real_starts
switch_dense,code-in-data,tiled,A3_band,196,12,0.0612,0.3323,0.2801,-0.0522,below_bound(check),tiled_real_starts
switch_tailcall,code-in-data,tiled,A1_full,1215,204,0.1679,0.6529,0.1745,-0.4784,below_bound(check),tiled_real_starts
switch_tailcall,code-in-data,tiled,A2_confusable,1215,204,0.1679,0.6529,0.1745,-0.4784,below_bound(check),tiled_real_starts
switch_tailcall,code-in-data,tiled,A3_band,157,8,0.051,0.2904,0.3641,0.0737,gap+0.07,tiled_real_starts
vtable_codec,code-in-data,tiled,A1_full,1242,257,0.2069,0.7356,0.2341,-0.5015,below_bound(check),tiled_real_starts
vtable_codec,code-in-data,tiled,A2_confusable,1242,257,0.2069,0.7356,0.2341,-0.5015,below_bound(check),tiled_real_starts
vtable_codec,code-in-data,tiled,A3_band,168,23,0.1369,0.5761,0.4442,-0.1318,below_bound(check),tiled_real_starts
vtable_shapes,code-in-data,tiled,A1_full,1231,235,0.1909,0.7034,0.1983,-0.5051,below_bound(check),tiled_real_starts
vtable_shapes,code-in-data,tiled,A2_confusable,1231,235,0.1909,0.7034,0.1983,-0.5051,below_bound(check),tiled_real_starts
vtable_shapes,code-in-data,tiled,A3_band,201,16,0.0796,0.4008,0.3671,-0.0337,TIGHT,tiled_real_starts
gcc_coreutils_64_O2_ls_disconnected,decoy-heavy,disconnected,A1_full,18142,16921,0.9327,0.3558,0.4163,0.0606,gap+0.06,manifest.decoy_entries
gcc_coreutils_64_O2_ls_disconnected,decoy-heavy,disconnected,A2_confusable,2442,1221,0.5,1.0,0.3101,-0.6899,below_bound(check),manifest.decoy_entries
gcc_coreutils_64_O2_ls_disconnected,decoy-heavy,disconnected,A3_band,2524,350,0.1387,0.5807,0.4329,-0.1479,below_bound(check),manifest.decoy_entries
gcc_coreutils_64_O2_ls_high-posterior,decoy-heavy,high-posterior,A1_full,18335,16921,0.9229,0.392,0.4005,0.0085,TIGHT,manifest.decoy_entries
gcc_coreutils_64_O2_ls_high-posterior,decoy-heavy,high-posterior,A2_confusable,2828,1414,0.5,1.0,0.325,-0.675,below_bound(check),manifest.decoy_entries
gcc_coreutils_64_O2_ls_high-posterior,decoy-heavy,high-posterior,A3_band,3027,349,0.1153,0.5157,0.4142,-0.1014,below_bound(check),manifest.decoy_entries
gcc_coreutils_64_O2_ls_interleaved,decoy-heavy,interleaved,A1_full,18091,16921,0.9353,0.3457,0.4545,0.1087,gap+0.11,manifest.decoy_entries
gcc_coreutils_64_O2_ls_interleaved,decoy-heavy,interleaved,A2_confusable,2340,1170,0.5,1.0,0.3093,-0.6907,below_bound(check),manifest.decoy_entries
gcc_coreutils_64_O2_ls_interleaved,decoy-heavy,interleaved,A3_band,2833,479,0.1691,0.6556,0.476,-0.1796,below_bound(check),manifest.decoy_entries
gcc_coreutils_64_O2_ls_mixed,decoy-heavy,mixed,A1_full,18206,16921,0.9294,0.3681,0.41,0.0419,TIGHT,manifest.decoy_entries
gcc_coreutils_64_O2_ls_mixed,decoy-heavy,mixed,A2_confusable,2570,1285,0.5,1.0,0.3359,-0.6641,below_bound(check),manifest.decoy_entries
gcc_coreutils_64_O2_ls_mixed,decoy-heavy,mixed,A3_band,2822,348,0.1233,0.5388,0.4222,-0.1167,below_bound(check),manifest.decoy_entries
gcc_coreutils_64_O2_ls_self-anchoring,decoy-heavy,self-anchoring,A1_full,18142,16921,0.9327,0.3558,0.4125,0.0567,gap+0.06,manifest.decoy_entries
gcc_coreutils_64_O2_ls_self-anchoring,decoy-heavy,self-anchoring,A2_confusable,2442,1221,0.5,1.0,0.3661,-0.6339,below_bound(check),manifest.decoy_entries
gcc_coreutils_64_O2_ls_self-anchoring,decoy-heavy,self-anchoring,A3_band,2865,347,0.1211,0.5326,0.4197,-0.1129,below_bound(check),manifest.decoy_entries
