name	transform	transform_name	n	code_bytes	region_ent	s_glob	s_spat	t_floored	rule_pick	guard_pick	rule_pick_floored	guard_pick_floored
p01_statemachine	tigL	Virtualize	1925	2161	5.770136	0.482645	0.201120	0.220490	packed	benign	benign	benign
p02_insertsort	tigL	Virtualize	2405	2641	5.762743	0.442156	0.143973	0.204556	packed	benign	benign	benign
p05_vm	tigL	Virtualize	2693	2961	5.335663	0.473578	0.188419	0.197116	packed	benign	benign	benign
p06_parser	tigL	Virtualize	2438	2785	5.690538	0.344363	0.110252	0.203637	packed	benign	benign	benign
p07_crc	tigL	Virtualize	1556	1745	5.781821	0.439553	0.154685	0.237472	packed	benign	benign	benign
p08_binsearch	tigL	Virtualize	1997	2257	5.655366	0.425121	0.145778	0.217738	packed	benign	benign	benign
p09_matmul	tigL	Virtualize	2320	2609	5.846332	0.398424	0.103494	0.207013	benign	benign	benign	benign
p10_collatz	tigL	Virtualize	1409	1601	5.938856	0.378807	0.163325	0.246030	packed	benign	benign	benign
p12_modpow	tigL	Virtualize	1969	2193	5.718981	0.487752	0.202110	0.218790	packed	benign	benign	benign
p01_statemachine	tigM	EncodeArithmetic	519	561	5.937019	0.386688	0.098278	0.360539	benign	benign	benign	benign
p02_insertsort	tigM	EncodeArithmetic	515	561	5.964889	0.381371	0.204449	0.361668	packed	benign	benign	benign
p05_vm	tigM	EncodeArithmetic	734	817	6.140545	0.419438	0.037654	0.314187	benign	benign	benign	benign
p06_parser	tigM	EncodeArithmetic	590	641	5.925176	0.306048	0.113195	0.342450	packed	benign	benign	benign
p07_crc	tigM	EncodeArithmetic	455	497	6.046880	0.693963	0.214174	0.380353	packed	benign	benign	benign
p08_binsearch	tigM	EncodeArithmetic	536	577	5.993232	0.365991	0.239985	0.355882	packed	benign	benign	benign
p09_matmul	tigM	EncodeArithmetic	725	785	6.161897	0.310842	-0.026607	0.315703	benign	benign	benign	benign
p10_collatz	tigM	EncodeArithmetic	427	465	5.866124	0.376178	0.038909	0.390392	benign	benign	benign	benign
p12_modpow	tigM	EncodeArithmetic	660	721	5.870965	0.659223	0.176434	0.327555	packed	benign	benign	benign
p01_statemachine	tigH	Flatten	581	625	5.776445	0.389274	0.293491	0.344558	packed	benign	benign	benign
p02_insertsort	tigH	Flatten	535	593	5.800782	0.375906	0.226774	0.356150	packed	benign	benign	benign
p05_vm	tigH	Flatten	883	1025	5.734025	0.408170	0.205010	0.292566	packed	benign	benign	benign
p06_parser	tigH	Flatten	634	705	5.793399	0.437982	0.160132	0.332798	packed	benign	benign	benign
p07_crc	tigH	Flatten	503	545	5.778911	0.403187	0.151834	0.365136	packed	benign	benign	benign
p08_binsearch	tigH	Flatten	637	705	5.854835	0.393238	0.228827	0.332177	packed	benign	benign	benign
p09_matmul	tigH	Flatten	788	881	5.766288	0.431638	0.142237	0.305645	packed	benign	benign	benign
p10_collatz	tigH	Flatten	525	577	5.647587	0.400910	0.251893	0.358870	packed	benign	benign	benign
p12_modpow	tigH	Flatten	566	625	5.801508	0.346473	0.285359	0.348182	packed	benign	benign	benign
