C0_clean_base            n=27897  S_glob=  0.567 [  · ]  S_spat= 0.070 [  · ]  ECEcal=0.0056 [  ok  ]  ECEraw=0.0120 | regFPconf=0     regMeanPi=0.000 regSglob= 0.000 regSspat= 0.000 | trueRecov=0.980 | evades(calibrated)
C1_decoy_realcode        n=46508  S_glob=  1.602 [FLAG]  S_spat= 0.081 [  · ]  ECEcal=0.1126 [MISCAL]  ECEraw=0.1137 | regFPconf=4788  regMeanPi=0.281 regSglob= 0.682 regSspat= 0.064 | trueRecov=0.979 | detected
C1b_decoy_decodeGT       n=46508  S_glob=  1.602 [FLAG]  S_spat= 0.081 [  · ]  ECEcal=0.0039 [  ok  ]  ECEraw=0.0146 | regFPconf=4788  regMeanPi=0.281 regSglob= 0.682 regSspat= 0.064 | trueRecov=0.978 | detected
C2_decoy_nopsled         n=47957  S_glob=  0.502 [  · ]  S_spat= 0.277 [FLAG]  ECEcal=0.3504 [MISCAL]  ECEraw=0.4239 | regFPconf=20016 regMeanPi=0.833 regSglob= 0.411 regSspat= 0.971 | trueRecov=0.980 | detected
C3_pack_random           n=45381  S_glob=  0.720 [  · ]  S_spat= 0.141 [FLAG]  ECEcal=0.1399 [MISCAL]  ECEraw=0.1260 | regFPconf=3423  regMeanPi=0.366 regSglob= 0.963 regSspat= 0.195 | trueRecov=0.980 | detected
C4_pack_deflate          n=46448  S_glob=  1.802 [FLAG]  S_spat= 0.246 [FLAG]  ECEcal=0.1961 [MISCAL]  ECEraw=0.1616 | regFPconf=2148  regMeanPi=0.494 regSglob= 3.660 regSspat= 0.394 | trueRecov=0.980 | detected
C5_interleave_k512       n=45849  S_glob=  1.366 [FLAG]  S_spat= 0.126 [FLAG]  ECEcal=0.1252 [MISCAL]  ECEraw=0.1160 | regFPconf=3970  regMeanPi=0.323 regSglob= 2.480 regSspat= 0.183 | trueRecov=0.979 | detected
C5_interleave_k128       n=45978  S_glob=  1.643 [FLAG]  S_spat= 0.146 [FLAG]  ECEcal=0.1286 [MISCAL]  ECEraw=0.1176 | regFPconf=4041  regMeanPi=0.330 regSglob= 3.178 regSspat= 0.217 | trueRecov=0.979 | detected
C5_interleave_k32        n=45981  S_glob=  1.064 [FLAG]  S_spat= 0.139 [FLAG]  ECEcal=0.1267 [MISCAL]  ECEraw=0.1154 | regFPconf=3847  regMeanPi=0.325 regSglob= 1.740 regSspat= 0.205 | trueRecov=0.980 | detected
C5_interleave_k8         n=45923  S_glob=  0.914 [  · ]  S_spat= 0.139 [FLAG]  ECEcal=0.1296 [MISCAL]  ECEraw=0.1177 | regFPconf=3715  regMeanPi=0.333 regSglob= 1.449 regSspat= 0.200 | trueRecov=0.980 | detected
C6_desync_rho0.02        n=28049  S_glob=  5.893 [FLAG]  S_spat= 0.167 [FLAG]  ECEcal=0.0304 [MISCAL]  ECEraw=0.0481 | regFPconf=0     regMeanPi=0.000 regSglob= 0.000 regSspat= 0.000 | trueRecov=0.915 | detected
C6_desync_rho0.05        n=28285  S_glob=  8.267 [FLAG]  S_spat= 0.242 [FLAG]  ECEcal=0.0497 [MISCAL]  ECEraw=0.0699 | regFPconf=0     regMeanPi=0.000 regSglob= 0.000 regSspat= 0.000 | trueRecov=0.872 | detected
C6_desync_rho0.10        n=28667  S_glob= 10.919 [FLAG]  S_spat= 0.255 [FLAG]  ECEcal=0.0898 [MISCAL]  ECEraw=0.1078 | regFPconf=0     regMeanPi=0.000 regSglob= 0.000 regSspat= 0.000 | trueRecov=0.793 | detected
C6_desync_rho0.20        n=29443  S_glob= 12.456 [FLAG]  S_spat= 0.289 [FLAG]  ECEcal=0.1353 [MISCAL]  ECEraw=0.1574 | regFPconf=0     regMeanPi=0.000 regSglob= 0.000 regSspat= 0.000 | trueRecov=0.692 | detected
C6_desync_rho0.40        n=30479  S_glob= 13.527 [FLAG]  S_spat= 0.313 [FLAG]  ECEcal=0.1821 [MISCAL]  ECEraw=0.2002 | regFPconf=0     regMeanPi=0.000 regSglob= 0.000 regSspat= 0.000 | trueRecov=0.583 | detected
